종목코드,대표자,설립일,주소
004080,문현기,19641113,서울특별시 중구 청파로 450  (중림동) 신흥빌딩 8층 재경팀
004090,"강승모,송상호(각자 대표이사)",19641211,서울특별시 용산구  이촌로 166
004100,한우삼. 한하워드성(각자 대표이사),19540301,경기도 안산시 단원구  해봉로 212 (성곡동)
004105,,,
004140,정운건,19650114,"서울특별시 중구 소월로 10 21층, 22층(남대문로5가, 단암빌딩)"
004150,이명길,19650119,서울특별시 중구 을지로 100 파인애비뉴 B동 24층
004170,박주형,19551209,서울특별시 중구  소공로 63 (충무로1가) 신세계백화점건물 (주)신세계
004250,"나창엽,양창영,심일식(각자 대표이사)",19650529,경기도 용인시 수지구 신수로 785-17 엔피씨(주)
004255,,,
004270,윤성호,19650610,서울특별시 금천구 디지털로 130 남성프라자 15층
004310,이상준,19650716,충청남도 천안시 동남구  풍세면 잔다리길 55
004360,최종일,19650913,부산광역시 남구 우암로 127 (감만동)
004365,,,
004370,조용철,19650918,서울특별시 동작구  여의대방로 112
004380,"진영환, 류영수",19651005,대구광역시 달서구  성서동로 163
004410,서인호,19551017,충청북도 충주시 충원대로 862
004415,,,
004430,김충식 대표이사,19651215,울산광역시 남구  장생포로 83
004440,"배강열,장기철",19651231,"경기도 화성시 동탄대로23길 121 21층(영천동, 동탄우미뉴브)"
004450,고기영,19650502,경기도 안산시 단원구  강촌로 140 삼화왕관(주)
004490,대표이사 박정희,19520910,서울특별시 강남구 선릉로 433
004540,이동열,19660307,서울특별시 용산구 한남대로 98 일신빌딩 4층
004545,,,
004560,"대표이사 사장 정일선, 대표이사 전무 김성문(각자 대표이사)",19660407,경상남도 창원시 성산구  적현로 124
004690,"유재권, 전영택",19660707,"서울특별시 영등포구  국제금융로6길 42 (여의도동, 삼천리빌딩)"
004700,이연석,19660803,"충청북도 청주시 흥덕구 공단로126번길 97 (송정동, 공단2브럭)"
004710,유경준,19660820,서울특별시 중구 을지로 100
004720,박희덕,19660822,경기 화성시 향남면 상신리 향남제약공단 902-5
004770,차상권,19660915,충청북도 충주시  목행산단2로 59
004800,"조현준, 황윤언",19661103,서울특별시 마포구  마포대로 119 (공덕동)
004830,"이봉근, 김성진 (각자대표이사)",19661110,경기도 수원시 영통구  신원로 25
004835,,,
004840,조현민,19450930,부산광역시 금정구 공단동로55번길 28
004870,서종대,19661206,"서울특별시 송파구 법원로 135 202호(문정동, 소노타워)"
004890,"오승민, 김정곤(각자 대표이사)",19661227,경상북도 포항시 남구  괴동로 112 (장흥동) 동일산업(주)
004910,양성아,19670116,부산광역시 사상구  삼덕로 5 148
004920,김대영,19670117,서울특별시 송파구 양재대로 932 가락몰 업무동 11층 동관
004960,"최문규,전재식(각자 대표이사)",19670224,경기도 용인시 처인구  백암면 덕평로 82
004970,김호운,19670306,서울특별시 강동구 고덕비즈밸리로6길 30 -
004980,한인호,19670316,서울특별시 종로구  인사동5길 29
004985,,,
004990,"신동빈, 고정욱, 노준형",19670324,서울특별시 송파구 올림픽로 300 롯데월드타워
00499K,,,
005010,"박훈, 윤형원(각자 대표이사)",19670418,"서울특별시 강남구  테헤란로 512 (대치동, 신안빌딩 14층)"
005030,장세훈,19670427,부산광역시 기장군 장안읍 신소재산단1로 10 부산주공(주)
005070,홍동환,19730628,충청북도 충주시 충주호수로 36 (목행동) 코스모신소재 주식회사
005090,"이우성, 박준영, 이복영",19670627,"서울특별시 서초구 양재대로 246 2층,3층 한국소비자원"
005110,이동우,19670710,부산광역시 연제구 중앙대로 1052 501호(연산동)
005180,김광수,19670913,경기도 남양주시 미금로65번길 45 (도농동) (주)빙그레
005250,"허일섭, 허용준",19671005,경기 용인시 구성읍 동백리 (주)녹십자 303
005257,,,
005300,박윤기,19671129,서울특별시 서초구 서초대로70길 15
005305,,,
005320,"홍종훈, 최용준(2인, 각자 대표이사)",19671208,서울특별시 송파구 위례성대로 138 2층(방이동)
005360,송하윤,19671228,"경기도 용인시 수지구  손곡로 17 (동천동, 모나미빌딩)"
005380,"정의선, 무뇨스 바르셀로 호세 안토니오, 최영일(각자 대표이사)",19671229,서울특별시 서초구  헌릉로 12
005385,,,
005387,,,
005389,,,
005420,김두영,19680212,서울특별시 서초구  반포대로 43 코스모빌딩 5층
005430,이수근,19680220,서울특별시 강서구  양천로 13 (방화동) 한국공항(주)
005440,"정지선, 장호진 (각자 대표이사)",19680227,서울특별시 강남구 테헤란로98길 12 13층
005490,"대표이사 회장  장인화, 대표이사 사장  이주태",19680401,경상북도 포항시 남구 동해안로 6261 -
005500,"최지현, 조규석",19680418,서울특별시 마포구  와우산로 121 삼진제약사옥
005610,"도세호, 정인호 (각자 대표이사)",19680628,경기도 시흥시 공단1대로 101
005680,"변동준, 김성수(각자 대표이사)",19680820,경기도 성남시 중원구  사기막골로 47 (상대원동)
005690,김현수,19680820,"서울특별시 강남구 언주로 874 (신사동, 쌍봉빌딩 7층)"
005720,"강병중, 강호찬, 문성희",19680910,경상남도 김해시  김해대로 2595
005725,,,
005740,윤석빈,19680918,서울특별시 용산구 한강대로72길 3
005745,,,
005750,강태식,19680920,경상남도 창원시 성산구  공단로 52
005800,"이의평, 이성원",19681021,서울특별시 금천구  가산디지털1로 104 (주)신영와코루
005810,박우동,19681022,인천광역시 계양구  아나지로 156 효성동 (주)풍산홀딩스
005820,신성엽,19681028,서울특별시 서초구  남부순환로 2495 원림빌딩 9층
005830,"김정남, 정종표",19681101,서울특별시 강남구  테헤란로 432
005850,"이성엽,정문호",19681107,대구광역시 북구 검단공단로 32 -
005870,"김영호, 이철승 (공동대표이사)",19681211,인천광역시 연수구  벤처로 87
005880,민상기,19681212,서울특별시 서대문구 신촌역로 30 -
005930,"전영현, 노태문",19690113,경기도 수원시 영통구  삼성로 129 (매탄동)
005935,,,
005940,"신재욱, 배광수",19690116,서울특별시 영등포구 여의대로 108 파크원NH금융타워(타워2)
005945,,,
005950,"김동민, 주봉진",19690117,서울특별시 서초구 사평대로 84 이수화학
005960,윤진오,19690124,서울특별시 강남구 테헤란로 137 코레이트 타워
005965,,,
006040,"김세훈, 박상진, 장인성",19690416,서울특별시 서초구 마방로 68 (양재동)
006060,대표이사 현석호,19690507,부산광역시 연제구 중앙대로 1079 장천빌딩 6층
006090,김택준,19690609,서울특별시 서초구 남부순환로 2159 (방배동)
006110,"한남희, 김진범",19690625,경기도 평택시 포승읍 평택항로 92 삼아알미늄 주식회사
006120,"최창원, 손현호",19690701,경기도 성남시 분당구 판교로 332 -
006125,,,
006200,박 명 덕,19690909,서울특별시 서초구  마방로10길 5
006220,이희수,19690919,제주특별자치도 제주시 1100로 3351 세기빌딩
006260,명노현,19620515,서울특별시 용산구 한강대로 92 LS용산타워 -
006280,허은철,19691101,경기도 용인시 기흥구  이현로30번길 107(보정동)
006340,서명환,19691129,충청남도 예산군  고덕면 호음덕령길 92
006345,,,
006360,"허윤홍, 김태진(각자 대표이사)",19691219,서울특별시 종로구 종로 33 그랑서울
006370,구정모,19691226,대구광역시 중구 동성로 30 9층 재무팀
006380,박성명,19691230,울산광역시 남구 사평로 126 -
006400,최주선,19700120,경기도 용인시 기흥구  공세로 150-20
006405,,,
006490,송병권,19700727,서울특별시 금천구 디지털로 130 남성프라자 613호
006570,"고은희, 이상원",19700401,서울특별시 서대문구  연희로 142
006650,강길순,19700602,서울특별시 종로구  자하문로 77 유남빌딩
006660,고호곤,19700611,경상남도 창원시 성산구  연덕로 176 삼성공조(주)
006740,권혁범,19700718,경기도 평택시 진위면 서탄로 9
006800,"김미섭, 허선호",19700923,서울특별시 중구 을지로5길 26 미래에셋 센터원빌딩 이스트타워
006805,,,
00680K,,,
006840,"고준, 채형석, 채동석 (각자 대표이사)",19701013,서울특별시 마포구 양화로 188 -
006880,조갑주,19701105,서울특별시 영등포구 여의나루로 53-1
006890,박기환,19701111,서울특별시 강서구  공항대로 467 (등촌동)
006980,한재규,19701230,대전광역시 대덕구 한밭대로 1027
007070,허서홍,19710213,서울특별시 강남구 논현로 508GS타워(역삼동 679)
007110,조용철,19710226,서울특별시 강동구 성내로 19 서경빌딩 6층
007120,박우람,19710301,서울시 강남구 삼성로648 삼성동
007160,"주진우, 김치곤(각자대표)",19710319,서울특별시 서대문구  통일로 107-39 사조산업빌딩 5층
007210,김 성 식,19710409,"서울특별시 중구  퇴계로 307 광희동 1가, 광희빌딩"
007280,"한길구, 박성우",19710518,경상남도 함안군 칠서면 공단동길 98 -
007310,"함영준, 황성만",19710603,경기도 안양시 동안구  흥안대로 405
007340,김상헌 김인환,19710623,경상남도 양산시 산막공단북11길 103 -
007460,김재섭,19711115,"경기도 성남시 중원구 둔촌대로 545 경기도 성남시 중원구 둔촌대로545, 비1층 (상대원동, 한라시그마밸리)"
007540,박진선,19711209,서울특별시 중구 충무로 2
007570,정유석,19460701,경기도 용인시 기흥구  하갈로 110
007575,,,
007590,"염병만, 염병진",19711231,"서울특별시 관악구  남부순환로 2028 남현동, 동방빌딩"
007610,권  혁,19720122,경기도 안산시 단원구 시화벤처로 444 (성곡동)
007660,최창복,19720204,대구광역시 달성군  논공읍 논공로53길 36 이수페타시스
007690,"이시창, 황문성",19720222,서울특별시 금천구  가산디지털2로 61
007700,박의헌,19720224,서울특별시 강남구 테헤란로8길 8 센터포인트강남
007810,장세준,19720411,경기도 안산시 단원구  강촌로139번길 9
007815,,,
00781K,,,
007860,정대영,19720421,경기도 안양시 동안구 부림로170번길 41-22(관양동) -
007980,임석원,19720630,서울특별시 구로구 디지털로31길 12 태평양물산
008040,이창주,19720726,서울특별시 서초구 방배천로2길 12 사조빌딩
008060,김영재,19720811,경기도 안산시 단원구 강촌로 230 (목내동)
00806K,,,
008250,문보영,19721207,인천광역시 남구 염전로 91
008260,이창환,19721214,서울특별시 동작구 동작대로 35 -
008350,"조현기, 정순원, 김제욱(각자대표)",19730104,대구광역시 달성군  논공읍 논공중앙로 288
008355,,,
008420,이창환,19730121,서울특별시 동작구 동작대로 35 -
008490,양주환,19730130,충청북도 청주시 흥덕구 오송읍 오송생명로 61 -
008600,지영민,19730309,충청남도 천안시 동남구  만남로 76
008700,"공동대표이사 : 유성준, 박준구",19730420,서울특별시 구로구 디지털로27가길 27아남빌딩
008730,"송녹정,신동윤",19730501,서울특별시 동작구 여의대방로 112 도연관 15층
008770,이부진,19730509,서울특별시 중구 동호로 249 (주) 호텔신라
008775,,,
008870,고기영,19730605,경기도 이천시 부발읍 중부대로1707번길 13
008930,김재교,19730615,경기도 화성시 팔탄면 무하로 214 한미약품(주) 팔탄공단
008970,이곽우,19730628,충청남도 천안시 동남구  풍세면 풍세로 515 동양철관(주)
009070,류주환,19730720,서울특별시 중구 남대문로 63 한진빌딩
009140,김성은,19730806,"서울특별시 금천구  가산디지털2로 184 1411호(가산동,벽산/경인디지털밸리2)"
009150,장덕현,19730808,경기도 수원시 영통구  매영로 150
009155,,,
009160,최진식,19730809,인천광역시 부평구  부평북로 141 (주)SIMPAC
009180,고정한,19730814,서울특별시 중구 을지로 100 파인애비뉴 B동 22층
009190,조상종,19730822,충청남도 예산군  신암면 추사로 146-8
009200,이도균,19730829,경상남도 진주시  남강로 1003 (상평동)
009240,김유진(대표집행임원),19730912,경기도 안산시 단원구 번영2로 144
009270,박정주,19730926,서울특별시 마포구  독막로 328 신원빌딩
009290,"최성원, 박상영(각자대표)",19631016,경기도 과천시 과천대로7다길 52 광동 과천 타워
009310,안경환,19731004,"경기도 성남시 분당구 수내로46번길 4 8층 (수내동, 경동빌딩)"
009320,"서중호,문종은",19731013,전라북도 정읍시  공단2길 3
009410,이강석,19731120,경기도 광명시 신기로 20 -
009415,,,
009420,"박수진,박승국(공동대표이사)",19731120,대전광역시 대덕구  상서당1길 43
009440,이태영,19731127,서울특별시 마포구 상암산로 34디지털큐브 12층
009450,"손연호, 손흥락, 장희철",19781113,경기도 평택시 서탄면 수월암길 95 -
009460,"KIM JOONYOUNG, 이상무 각자대표",19731206,경상남도 양산시  웅상대로 1564 (주)한창제지
009470,"오영주, 박종온",19731210,충청북도 청주시 흥덕구  봉명로 3 (복대동)
009540,"정기선, 김형관 (각자 대표이사)",19731228,"경기도 성남시 분당구 분당수서로 477 정자동, HD현대그룹 글로벌 R&D센터"
009580,이도균,19740116,울산광역시 울주군 온산읍 우봉강양로 3-36 -
009680,"김희진, 신현돈(각자 대표이사)",19740307,"서울특별시 종로구 청계천로 41 9층(서린동, 영풍빌딩)"
009770,전성오,19740409,경기도 평택시 고덕면 해창리 250
009810,"김재욱, 선영",19740417,서울시 강남구 삼성로648 4층 삼성동
009830,"박승덕, 남정운, 김동관",19740427,서울특별시 중구 청계천로 86 한화빌딩
009835,,,
009900,최우철,19820417,경상북도 경주시 천북면 천북산단로 91
009970,성래은,19740620,서울특별시 중구 만리재로 159 (주)영원무역
010040,변성희,19740624,충청남도 당진시  송산면 무수들길 370
010060,"이우현, 이수미(2인, 각자 대표이사)",19740701,서울특별시 중구  소공로 94 OCI 빌딩
010100,이현덕,19740715,울산 동구 동부동 194
010120,"구자균, 채대석",19740724,경기도 안양시 동안구  엘에스로 127 LS타워
010130,박기덕,19740801,서울특별시 종로구 종로33 (청진동) -
010140,최성안,19740805,경기도 성남시 분당구 판교로227번길 23 삼성중공업 판교R&D센터
010400,홍경모,19750127,서울특별시 서초구 방배로 166 한승빌딩 3층
010580,"유병선, 최세환(각자대표)",19750411,충청남도 아산시 도고면 도고면로 48-15 (주)지코
010640,최재호,19750607,경기 평택시 세교동 536-8번지
010660,"권형석, 권형운 (공동대표이사)",19750614,서울특별시 서초구  방배로 46
010690,"정서진, 배현주",19740701,경상북도 영천시  도남공단길 94-2
010770,"황순용, 김주영",19501030,대구광역시 달성군  논공읍 논공로 597
