종목코드,재무제표종류,유동자산_2023,유동자산_2022,유동자산_2021,유동부채_2023,유동부채_2022,유동부채_2021,부채총계_2023,부채총계_2022,부채총계_2021,자본총계_2023,자본총계_2022,자본총계_2021,매출액_2023,매출액_2022,매출액_2021,영업이익_2023,영업이익_2022,영업이익_2021,당기순이익_2023,당기순이익_2022,당기순이익_2021
001080,CFS,150928400703.0,160309290223.0,152257444065.0,21979564954.0,24484105742.0,21015970113.0,22325402295.0,25657000048.0,26383148020.0,257656264538.0,249989355282.0,247752744927.0,213296308408.0,253705017361.0,196123923305.0,-7441418493.0,-145706310.0,433732631.0,8988679029.0,2931085251.0,6356634114.0
001120,CFS,4033775460675.0,4482204749190.0,4376547052901.0,2608427815094.0,2935026255683.0,3430948439233.0,4920385836841.0,4682532060717.0,4362644678498.0,3074954894023.0,3036475272912.0,2384244343246.0,14514349869122.0,18759549404034.0,16686532633651.0,433109594096.0,965543470335.0,656217086586.0,193358801940.0,779310807894.0,540331627454.0
001130,CFS,714234907928.0,615430600543.0,683850027463.0,360098478443.0,344701427247.0,380129477789.0,407391972243.0,399078814703.0,440979863565.0,993961881817.0,919353083839.0,880617517208.0,1441458547512.0,1368170051431.0,1111341734130.0,54859482247.0,43274283090.0,24960181509.0,81242498761.0,41343753991.0,87295095400.0
001200,CFS,,,,,,,7687427343652.0,7100764279436.0,8214653815670.0,1011904699588.0,975644019345.0,960811140603.0,1647662690835.0,1821576539177.0,1370747937952.0,,,,30696475248.0,15672340026.0,90685709052.0
001210,CFS,27154653320.0,37080729032.0,65174960579.0,39040424174.0,43610870318.0,63023538068.0,45756810075.0,48670001850.0,65486927043.0,7148316474.0,13523730755.0,18362616731.0,53372993650.0,46015093156.0,41640597680.0,-8228668329.0,-11787966654.0,-8559664657.0,-18342317139.0,-17860161242.0,-9883907411.0
001230,CFS,919871143473.0,2774282526162.0,2682765756695.0,540823934851.0,2824096283756.0,3119195484420.0,644335386070.0,3178727259124.0,3551698513509.0,1777312951379.0,3272520537758.0,2782412405551.0,1841113699327.0,2098912392887.0,1754741621543.0,60062636095.0,86773672399.0,-8026299154.0,231577736410.0,411365431091.0,558595878971.0
001250,CFS,967517157946.0,1006878372309.0,1038726911531.0,769699575113.0,805649501154.0,926642821394.0,953110256832.0,1012698524738.0,1100168067127.0,447988123538.0,406714433715.0,342513753782.0,3916492566786.0,5070923117354.0,3849040520289.0,76519058573.0,70467603982.0,38846703450.0,26078650864.0,68061370179.0,22028008413.0
001260,CFS,296406260362.0,263129339480.0,205832874018.0,241834275993.0,216082621341.0,171179968325.0,264295801416.0,238920806341.0,186233104756.0,113032137008.0,107002078032.0,87745244191.0,547683547225.0,450379452331.0,356740019691.0,4346983076.0,11115819532.0,20804647592.0,5988599636.0,19332575729.0,21679416652.0
001270,CFS,,,,,,,1012607100628.0,786574355132.0,988411106505.0,757884918859.0,694855528953.0,659012129382.0,815040553001.0,983407272978.0,741109604926.0,,,,57306543254.0,42313705537.0,77359902443.0
001275,,,,,,,,,,,,,,,,,,,,,,
001290,CFS,,,,,,,1939613651597.0,374549886821.0,387709141697.0,234147787851.0,223507840089.0,194771324590.0,182188880534.0,51097917726.0,48200083960.0,,,,487236451.0,3680901132.0,8980588201.0
001340,CFS,68116463914.0,61271070968.0,57418849425.0,143576312214.0,135827456027.0,125477096012.0,213256378678.0,194591585576.0,172997605953.0,213651817625.0,209676014934.0,188862231244.0,233521888171.0,232725146826.0,191117728512.0,17738515912.0,28274340213.0,18079442854.0,7728814098.0,22702656071.0,15001058596.0
001360,CFS,29453670328.0,69571334414.0,85389948972.0,12818347194.0,14233036317.0,16697166489.0,15894485487.0,15324892000.0,18185604636.0,77584546537.0,102589916538.0,127270473689.0,51955037960.0,51832233858.0,54901130222.0,-18037069707.0,-13961176993.0,-18139831261.0,-24812021765.0,-25093031447.0,-40276343542.0
001380,CFS,57713699590.0,35078818277.0,29001076322.0,38633692570.0,43222756995.0,13114512757.0,57195063606.0,64775255814.0,64041656329.0,141051733708.0,121160192606.0,122979798064.0,96577221552.0,67661514915.0,57771768373.0,6606303384.0,-1441946513.0,-565908642.0,20175100732.0,-2445648212.0,-5550659560.0
001390,CFS,3213520186659.0,2561024589897.0,1885532045405.0,2378907515379.0,2303485758893.0,1815854556571.0,4181830349010.0,3761420644468.0,3097379164414.0,3636315422315.0,3315226748266.0,1787513115794.0,8933057023552.0,6607355088852.0,4826618393052.0,442583708062.0,501083594243.0,448184282061.0,350715471304.0,997422975357.0,281961177811.0
001420,CFS,31923884567.0,20912453087.0,22003145374.0,5975057863.0,3142665315.0,3799289627.0,8426155590.0,5374970694.0,6106381935.0,28960558405.0,29573533489.0,31332658737.0,9212314418.0,10954651040.0,9827604178.0,-810959814.0,-525103179.0,-405845565.0,-82457842.0,-1360796816.0,81272711.0
001430,CFS,1664235509209.0,1809109415045.0,1636018723683.0,749296026184.0,1025589889996.0,910905882900.0,1626121166492.0,1846659305036.0,1619635049491.0,2039049834129.0,1971744747023.0,1906361506004.0,4083481175925.0,4386332748546.0,3651102951303.0,196690160681.0,127856465832.0,238429625560.0,125991352125.0,88310592966.0,183668658624.0
001440,CFS,1265741722000.0,1144663275000.0,939158406000.0,682343719000.0,488178116000.0,757749988000.0,925279344000.0,738060568000.0,1033109826000.0,953285756000.0,882204303000.0,387760789000.0,2843980012000.0,2450545975000.0,1997709556000.0,79823888000.0,48173734000.0,39462123000.0,71872998000.0,21830706000.0,28937337000.0
001450,CFS,,,,,,,38032594522814.0,36744509270264.0,47809992570177.0,6055391876258.0,9508086230575.0,5008010374958.0,,,,,,,607828606638.0,1294975508162.0,432572359109.0
