종목코드,업종명
114100,
114260,
114460,
114470,
114800,
114820,
117460,
117580,17전기·가스
117680,
117690,
117700,
118000,16유통
119650,12기계·장비
120030,11금속
120110,08화학
120115,08화학
122090,
122260,
122630,
122900,16유통
123310,
123320,
123690,16유통
123700,15운송장비·부품
123890,21금융
126560,20통신
126720,18건설
128820,16유통
128940,09제약
129260,19운송·창고
130660,26일반서비스
130680,
130730,
131890,
132030,
133690,
133820,11금속
134380,08화학
134790,27제조
136340,
136490,05음식료·담배
137310,14의료·정밀기기
137610,
138040,21금융
138230,
138520,
138530,
138540,
138910,
138920,
138930,21금융
139130,21금융
139220,
139230,
139240,
139250,
139260,
139270,
139280,
139290,
139320,
139480,16유통
139660,
139990,11금속
140570,
140580,
140700,
140710,
140950,
143210,15운송장비·부품
143850,
143860,
144600,
145210,12기계·장비
145270,28부동산
145670,
145720,14의료·정밀기기
145850,
145990,05음식료·담배
145995,05음식료·담배
147970,
148020,
148070,
150460,
152100,
152380,
152500,
152870,
153130,
153270,
155660,11금속
156080,
157450,
157490,
157500,
159800,
160580,
161000,08화학
161390,08화학
161510,
161890,08화학
163560,08화학
166400,
167860,
168580,
169950,
170900,09제약
174350,
174360,
175330,21금융
176950,
178920,08화학
180640,21금융
18064K,21금융
181480,
181710,29IT 서비스
182480,
182490,
183190,10비금속
183700,
183710,
185680,
185750,09제약
189400,
190620,
192080,29IT 서비스
192090,
192400,21금융
192650,13전기·전자
192720,
192820,08화학
194370,06섬유·의류
195870,13전기·전자
195920,
195930,
195970,
195980,
196030,
196230,
200030,
200250,
200880,15운송장비·부품
203780,
204320,15운송장비·부품
204450,
204480,
205720,
207940,09제약
210540,12기계·장비
210780,
210980,28부동산
211560,
211900,
213500,07종이·목재
213610,
213630,
214320,26일반서비스
214330,15운송장비·부품
214390,09제약
214420,08화학
214980,
215620,
217590,13전기·전자
217770,
217780,
218420,
219390,
219480,
219900,
220130,
223190,
225030,
225040,
225050,
225060,
225130,
225800,
226320,08화학
226380,
226490,
226980,
227540,
227550,
227560,
227570,
227830,
227840,16유통
228790,
228800,
228810,
228820,
229200,
229640,21금융
229720,
230480,
232080,
233160,
233740,
234080,09제약
234310,
236350,
237350,
237370,
237440,
238670,
238720,
239660,
241180,
241390,
241560,12기계·장비
241590,06섬유·의류
243880,
243890,
244580,
244620,
244660,
244670,
244920,21금융
245340,
245350,
245360,
245710,
248070,13전기·전자
248170,05음식료·담배
248270,
249420,09제약
250730,
250780,
251270,29IT 서비스
251340,
251350,
251590,
251600,
252000,
252400,
252410,
252420,
252650,
252670,
252710,
253150,
253160,
253230,
253240,
253250,
253280,
253290,
256440,
256450,
256750,
259960,29IT 서비스
261060,
261070,
261110,
261120,
261140,
261220,
261240,
261250,
261260,
261270,
261920,
264900,05음식료·담배
26490K,05음식료·담배
265690,
266160,
266360,
266370,
266390,
266410,
266420,
266550,
267250,21금융
267260,13전기·전자
267270,12기계·장비
267290,17전기·가스
267440,
267450,
267490,
267770,
267850,29IT 서비스
268280,08화학
269370,
269420,
269530,
269540,
270800,
270810,
271050,
271060,
271560,05음식료·담배
271940,15운송장비·부품
271980,09제약
272210,13전기·전자
272450,19운송·창고
272550,08화학
272560,
272570,
272580,
272910,
273130,
273140,
275280,
275290,
275300,
275750,
275980,
276000,
276650,
276970,
276990,
277540,
277630,
277640,
277650,
278240,
278470,08화학
278530,
278540,
278620,
279530,
279540,
279570,21금융
280320,
280360,05음식료·담배
280920,
280930,
280940,
281820,14의료·정밀기기
281990,
282000,
282330,16유통
283580,
284430,
284740,26일반서비스
284980,
285130,08화학
28513K,08화학
285690,
286940,29IT 서비스
287180,
289040,
289250,
289260,
289480,
289670,
290080,
290130,
291130,
291620,
291630,
291680,
291890,
292050,
292150,
292160,
292190,
292500,
292560,
292770,
293180,
293480,09제약
293940,28부동산
294400,
294870,18건설
295000,
295020,
295040,
298000,08화학
298020,08화학
298040,13전기·전자
298050,08화학
298340,
298690,19운송·창고
298770,
300610,
300640,
300720,10비금속
300950,
301400,
302190,
302440,09제약
302450,
304660,
304670,
304760,
304770,
304780,
304940,
305050,
305080,
305540,
305720,
306200,11금속
306520,
306530,
306950,
307510,
307520,
307950,29IT 서비스
308170,15운송장비·부품
308620,
309230,
310080,
310960,
310970,
314250,
314700,
315270,
315930,
315960,
316140,21금융
316300,
316670,
317400,28부동산
317450,09제약
319640,
321410,
322000,13전기·전자
322400,
322410,
323410,21금융
325010,
325020,
326030,26일반서비스
326230,
326240,
328370,
329180,15운송장비·부품
329200,
329650,
329660,
329670,
329750,
330590,28부동산
332500,
332610,
332620,
332930,
332940,
334690,
334700,
334890,28부동산
336160,
336260,13전기·전자
33626K,13전기·전자
33626L,13전기·전자
336370,13전기·전자
33637K,13전기·전자
33637L,13전기·전자
337120,
337140,
337150,
337160,
338100,28부동산
339770,16유통
341850,
344820,10비금속
348950,28부동산
350520,28부동산
352540,
352560,
352820,30오락·문화
353200,13전기·전자
35320K,13전기·전자
354240,
354350,
354500,
356540,
357120,28부동산
357250,28부동산
357430,28부동산
357870,
359210,
360140,
360150,
360200,
360750,
361580,
361610,13전기·전자
363280,21금융
36328K,21금융
363510,
363570,
363580,
364690,
364960,
364970,
364980,
364990,
365000,
365040,
365550,28부동산
365780,
367380,
367740,
367760,
367770,
368190,
368590,
368680,
371150,
371160,
371450,
371460,
371470,
371870,
372330,
372910,14의료·정밀기기
373220,13전기·전자
373490,
373790,
375270,
375500,18건설
37550K,18건설
37550L,18건설
375760,
375770,
376410,
377190,28부동산
377300,21금융
377740,09제약
377990,
378850,15운송장비·부품
379780,
379790,
379800,
379810,
380340,
381170,
381180,
381560,
381570,
381970,16유통
383220,06섬유·의류
383800,21금융
38380K,21금융
385510,
385520,
385540,
385550,
385560,
385590,
385600,
385710,
385720,
387270,
387280,
388280,
388420,
390390,
390400,
391600,
391670,
394660,
394670,
395150,
395160,
395170,
395270,
395280,
395290,
395400,28부동산
395750,
395760,
396500,
396510,
396520,
396690,28부동산
397420,
399110,
399580,
400570,
400580,
400590,
400760,28부동산
400970,
401170,
401470,
401590,
402340,21금융
402460,
402970,
403550,26일반서비스
403790,
404120,
404260,
404540,
404650,
404990,28부동산
407300,
407310,
407820,
407830,
409810,
409820,
410870,
411060,
411420,
411540,
411860,
412560,
412570,
412770,
413220,
413930,
414270,
414780,
415340,
415640,21금융
415760,
415920,
416090,
417310,28부동산
417450,
417630,
418660,
418670,
419420,
419430,
419650,
419890,
421320,
422420,
423160,
