종목코드,종목명,업종명,시장구분,대표자,현재가,등락률,PBR,PER,ROE,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원),시가총액,매출액,영업이익,EPS,BPS,상장주수,결산월,설립일,주소,경상이익,3년연속흑자
416180,신성에스티,30운송장비·부품,KOSDAQ,손태도,17920,-5.68,1.53,293.77,-2.0,22.06,-175.97,45.84,233.53,-54.52,-46.02,-61.09,10.1,1571,502,-5,61.0,11704.0,9039,12.0,20040616.0,경상남도 창원시 마산회원구 3·15대로 711 대아빌딩,-12,False
417010,나노팀,27기계·장비,KOSDAQ,최윤성,4255,-5.65,1.76,85.1,1.0,23.09,132.54,134.74,127.47,-64.12,-50.23,-21.06,98.4,853,98,-6,50.0,2423.0,20172,12.0,20161228.0,대전광역시 유성구 국제과학2로 14,-10,False
417180,핑거스토리,,KOSDAQ,라현성,3945,-1.38,0.44,3.86,0.0,-5.73,-43.78,56.5,205.99,-50.06,-56.19,-68.83,0.9,138,50,-1,1021.0,8870.0,3509,12.0,20180308.0,"서울특별시 강남구 테헤란로 325, 15층 (역삼동, 어반벤치빌딩)",-1,True
417200,LS머트리얼즈,28전기·전자,KOSDAQ,홍영호,11860,-6.02,4.33,1976.67,0.0,1.04,-156.6,3.24,954.18,-56.4,-11.36,7.82,280.1,7292,431,-11,6.0,2736.0,67652,12.0,20210101.0,경기도 안양시 동안구 엘에스로116번길 39 엘에스엠트론 하이테크 센터 6층,-13,False
417500,제이아이테크,23화학,KOSDAQ,함석헌,3070,-4.95,1.28,14.9,11.0,-6.6,-10.51,59.89,126.88,-35.37,-2.69,-6.97,16.2,1021,154,39,206.0,2405.0,32784,12.0,20140328.0,전라북도 군산시 중가도길 16,42,True
417790,트루엔,28전기·전자,KOSDAQ,안재천,5600,-0.53,0.0,0.0,0.0,-8.37,-14.25,4.62,1685.74,-27.27,-28.39,-39.78,1.7,577,0,0,0.0,0.0,10468,12.0,20050128.0,"서울특별시 구로구 디지털로33길 28, 1108, 1309호(구로동, 우림이비지센터1차)",0,True
417840,저스템,27기계·장비,KOSDAQ,임영진,9980,-12.23,4.05,61.6,11.0,24.79,223.42,63.4,85.76,-17.11,98.02,189.95,173.9,2712,177,41,162.0,2465.0,22869,12.0,20160425.0,경기도 용인시 기흥구 탑실로 35번길 57,46,False
417860,오브젠,,KOSDAQ,"전배문, 유용희",6100,-9.23,2.66,-8.59,0.0,57.99,106.46,334.05,57.81,-48.48,-45.34,-66.41,30.5,283,131,-5,-710.0,2290.0,4706,12.0,20000428.0,"서울특별시 영등포구 여의대로 14. 12층(여의도동, KT여의도타워)",-5,False
417970,모델솔루션,27기계·장비,KOSDAQ,유형민,11000,-2.4,0.97,10.3,10.0,13.12,91.37,34.84,291.89,-43.24,-56.0,-0.18,9.1,669,765,81,1068.0,11302.0,6396,12.0,20050225.0,서울특별시 금천구 벚꽃로20길 24,84,True
418250,시큐레터,,KOSDAQ,정동진,6550,0.0,6.6,-4.82,-82.0,-17.23,40.98,40.39,126.32,0.0,0.0,0.0,0.0,476,14,-73,-1360.0,993.0,7271,12.0,20150910.0,"경기도 성남시 수정구 금토로80번길 11, 14층 1401호 &nbsp",-94,False
