종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동자산_2023,유동부채_2025,유동부채_2024,유동부채_2023,부채총계_2025,부채총계_2024,부채총계_2023,자본총계_2025,자본총계_2024,자본총계_2023,매출액_2025,매출액_2024,매출액_2023,영업이익_2025,영업이익_2024,영업이익_2023,당기순이익_2025,당기순이익_2024,당기순이익_2023,ROE_2025,부채비율_2025,유동비율_2025,ROE_2024,부채비율_2024,유동비율_2024,ROE_2023,부채비율_2023,유동비율_2023,매출액성장률_2025,영업이익성장률_2025,매출액성장률_2024,영업이익성장률_2024,유동자산_2022,유동자산_2021,유동부채_2022,유동부채_2021,부채총계_2022,부채총계_2021,자본총계_2022,자본총계_2021,매출액_2022,매출액_2021,영업이익_2022,영업이익_2021,당기순이익_2022,당기순이익_2021,ROE_2022,부채비율_2022,유동비율_2022,ROE_2021,부채비율_2021,유동비율_2021,매출액성장률_2023,영업이익성장률_2023,매출액성장률_2022,영업이익성장률_2022
013570,디와이,CFS,623366490033.0,585993354469.0,590153626146.0,348261959416.0,337175540185.0,345445189245.0,454238813816.0,423003601657.0,399687967327.0,600588859006.0,580490578302.0,530556785303.0,1244837492114.0,1168278437513.0,1191171302146.0,48056322293.0,35621946421.0,43299144216.0,30018364162.0,34984637348.0,35412223741.0,5.0,75.63,178.99,6.03,72.87,173.79,6.67,75.33,170.84,6.55,34.91,-1.92,-17.73,537055426753.0,533995612349.0,319588490731.0,301092729497.0,356698974017.0,361846877297.0,504384058940.0,498125677649.0,1094816896212.0,998349819087.0,32920856088.0,46788190051.0,7650979674.0,11599269198.0,1.52,70.72,168.05,2.33,72.64,177.35,8.8,31.52,9.66,-29.64
013580,계룡건설,CFS,2151511951326.0,1917057954076.0,1838954013373.0,1587271776262.0,1326790223982.0,1400845573045.0,2233993630971.0,1989523620978.0,1868729174216.0,990885784242.0,902399482991.0,858163461806.0,2887440609690.0,3127054733663.0,2977005044488.0,166870229835.0,87143166001.0,100697392316.0,97894344656.0,52435702377.0,51924199347.0,9.88,225.45,135.55,5.81,220.47,144.49,6.05,217.76,131.27,-7.66,91.49,5.04,-13.46,1703568860436.0,1598100581406.0,1342285677004.0,1092193640171.0,1757274727927.0,1572714062300.0,802753933081.0,754340005182.0,2949680250000.0,2561801412006.0,132836469827.0,232741989538.0,60339311955.0,156417920465.0,7.52,218.91,126.92,20.74,208.49,146.32,0.93,-24.19,15.14,-42.93
013700,까뮤이앤씨,CFS,202755972164.0,174042410331.0,164929361341.0,170433186416.0,143742403671.0,123775070069.0,185928182653.0,181056190782.0,168253109752.0,112372292073.0,95485083998.0,87295246560.0,297453436886.0,260379672451.0,278827953382.0,23846813274.0,-18097320062.0,6651260920.0,20026957609.0,-21924701376.0,2607626820.0,17.82,165.46,118.97,-22.96,189.62,121.08,2.99,192.74,133.25,14.24,231.77,-6.62,-372.09,72079767443.0,64796105922.0,88669890181.0,67006565954.0,116341805653.0,96246050328.0,79147588250.0,98812382658.0,195140487261.0,163686602054.0,-15897800139.0,-3010985732.0,-15888096472.0,-3016566535.0,-20.07,146.99,81.29,-3.05,97.4,96.7,42.89,141.84,19.22,-427.99
013720,청보,CFS,34037687442.0,19916105609.0,31862003853.0,21246718899.0,14978296229.0,24847753549.0,26363105254.0,20528684499.0,28755407435.0,58356277724.0,58300505633.0,51923477305.0,24907855868.0,24448731850.0,31359260218.0,762078994.0,1408110915.0,787375316.0,-12176839324.0,-14778691934.0,-13335949581.0,-20.87,45.18,160.2,-25.35,35.21,132.97,-25.68,55.38,128.23,1.88,-45.88,-22.04,78.84,52817397602.0,32454420460.0,30669371980.0,42090385101.0,31734808266.0,46595763171.0,42633521924.0,30166660915.0,36024332730.0,24773247642.0,393425760.0,-4984016873.0,-29696021886.0,-12277531327.0,-69.65,74.44,172.22,-40.7,154.46,77.11,-12.95,100.13,45.42,107.89
013810,스페코,CFS,41671957118.0,56847618648.0,58132603108.0,13211785226.0,25827370301.0,26273076070.0,26645963115.0,40468638153.0,37705352670.0,45645155249.0,46244258373.0,47306722200.0,37964956719.0,27191519908.0,22987862181.0,-460595979.0,-5693400709.0,-4148483505.0,-308438591.0,-1705103424.0,-2057200716.0,-0.68,58.38,315.42,-3.69,87.51,220.11,-4.35,79.7,221.26,39.62,91.91,18.29,-37.24,55764887634.0,63183885155.0,22331882998.0,30082828387.0,35044853122.0,42332732713.0,50735385573.0,53590935886.0,31079586548.0,54346966645.0,-3766587275.0,2805011555.0,611187601.0,1800550565.0,1.2,69.07,249.71,3.36,78.99,210.03,-26.04,-10.14,-42.81,-234.28
013870,지엠비코리아,CFS,384869527974.0,335263266225.0,315557862691.0,355498533908.0,318294235739.0,265986353507.0,381234830616.0,345034614956.0,309489580051.0,300667932373.0,285508678234.0,269566488961.0,787271627828.0,726708233618.0,690905792852.0,24219735831.0,22684759351.0,20566629966.0,13561865663.0,14795280789.0,10813294723.0,4.51,126.8,108.26,5.18,120.85,105.33,4.01,114.81,118.64,8.33,6.77,5.18,10.3,294436675311.0,259210370351.0,248081704876.0,222364204027.0,282988578972.0,273762237351.0,267831024004.0,248701587607.0,610506109979.0,531332180542.0,11123016383.0,8377508126.0,12089848967.0,10500670215.0,4.51,105.66,118.69,4.22,110.08,116.57,13.17,84.9,14.9,32.77
013890,지누스,CFS,625900187307.0,656034005285.0,602440549016.0,322462538537.0,429089098883.0,330478136405.0,423749526842.0,519464564797.0,415635288230.0,649370973530.0,672764012916.0,625763571220.0,913180017856.0,920399251687.0,952282926124.0,25479423487.0,-5445946393.0,18342039200.0,-18505683599.0,-6798402948.0,5297181824.0,-2.85,65.26,194.1,-1.01,77.21,152.89,0.85,66.42,182.29,-0.78,567.86,-3.35,-129.69,685770417986.0,651428659770.0,391306390941.0,438355378201.0,488663623143.0,540408191734.0,626157267727.0,478228046897.0,1159605660284.0,1123843093974.0,65560502229.0,74335344156.0,29372131142.0,51657452375.0,4.69,78.04,175.25,10.8,113.0,148.61,-17.88,-72.02,3.18,-11.8
013990,아가방컴퍼니,CFS,122814379884.0,115448650039.0,117608626255.0,43001819200.0,42222017356.0,39345032032.0,57108356173.0,56213810425.0,51345318086.0,178560481048.0,167552989186.0,170469139371.0,189078048828.0,182742831122.0,186412760361.0,13987123318.0,15205969477.0,16576163171.0,10636507683.0,10186280600.0,12689558361.0,5.96,31.98,285.6,6.08,33.55,273.43,7.44,30.12,298.92,3.47,-8.02,-1.97,-8.27,107850901496.0,96026904513.0,35757715642.0,37958519489.0,45935137780.0,45770187127.0,162428443517.0,149343644304.0,174318344068.0,150978014442.0,14530167691.0,5905777500.0,9851372602.0,13054794699.0,6.07,28.28,301.62,8.74,30.65,252.98,6.94,14.08,15.46,146.03
014100,메디앙스,CFS,22640891831.0,24413571755.0,27087711093.0,31191962051.0,29729683025.0,22269803815.0,41147480218.0,39061535186.0,34645716928.0,68182910130.0,73696997218.0,87017104313.0,48769436984.0,48985993990.0,66023045995.0,-1103975443.0,-8815176395.0,-1292819708.0,-6018096643.0,-13785663420.0,6992476041.0,-8.83,60.35,72.59,-18.71,53.0,82.12,8.04,39.81,121.63,-0.44,87.48,-25.8,-581.86,30844169300.0,39884037418.0,24969232643.0,29166533086.0,35421725965.0,47517308460.0,80964907544.0,93135970527.0,71422007545.0,71524701887.0,1609909502.0,4479265875.0,-11726379609.0,4366212858.0,-14.48,43.75,123.53,4.69,51.02,136.75,-7.56,-180.3,-0.14,-64.06
014130,한익스프레스,CFS,131891991222.0,149675833389.0,126642802404.0,193455392108.0,194807189010.0,217075636066.0,315006144091.0,297454403153.0,342926253267.0,86220728438.0,102729277120.0,84604264757.0,629822023537.0,712300386074.0,668410640663.0,-3620172011.0,3370635475.0,8724985201.0,-14676905411.0,17158070633.0,-15603643118.0,-17.02,365.35,68.18,16.7,289.55,76.83,-18.44,405.33,58.34,-11.58,-207.4,6.57,-61.37,143504295660.0,138589382051.0,176636027467.0,244686591332.0,302592347580.0,301259496387.0,105354618725.0,73515343118.0,858131760908.0,776251564129.0,19863296336.0,5713461856.0,8543466802.0,3915122397.0,8.11,287.21,81.24,5.33,409.79,56.64,-22.11,-56.07,10.55,247.66
014160,대영포장,CFS,68091493976.0,58006360987.0,77246378585.0,48033454476.0,34341357449.0,35681998520.0,69003614962.0,49682648480.0,46600849594.0,192296367683.0,175397853041.0,174536929197.0,283702207867.0,280835222931.0,283462475670.0,881634489.0,923321701.0,11078018260.0,1496990027.0,-31968504.0,7925125110.0,0.78,35.88,141.76,-0.02,28.33,168.91,4.54,26.7,216.49,1.02,-4.51,-0.93,-91.67,100263704907.0,96366397791.0,69518889154.0,40556645761.0,80340610405.0,78837067773.0,167016272894.0,167232335925.0,302554046399.0,295763691187.0,11909475247.0,11523086091.0,12852541546.0,10049916716.0,7.7,48.1,144.23,6.01,47.14,237.61,-6.31,-6.98,2.3,3.35
014190,원익큐브,CFS,100896240563.0,118523293471.0,108413613212.0,31012259265.0,44289090180.0,33097413271.0,39683480324.0,46489578459.0,35299849270.0,110126193585.0,106877322123.0,104200640115.0,284760572162.0,286805365033.0,244376147023.0,3308620898.0,3564610646.0,5600959959.0,2804729011.0,2675445879.0,4952400910.0,2.55,36.03,325.34,2.5,43.5,267.61,4.75,33.88,327.56,-0.71,-7.18,17.36,-36.36,105058518034.0,114499137125.0,35750522802.0,50512809041.0,37308953487.0,52532345157.0,99487139959.0,94747045213.0,245979910828.0,258381565780.0,4254901005.0,13966037867.0,4296750090.0,10523223353.0,4.32,37.5,293.87,11.11,55.44,226.67,-0.65,31.64,-4.8,-69.53
014280,금강공업,CFS,461072941773.0,453123569511.0,455179398404.0,481770625105.0,512506283004.0,529800865935.0,689840040135.0,662560902622.0,652973754367.0,498151541194.0,499338342916.0,477493955104.0,802156014802.0,801352012454.0,856892700510.0,10497395028.0,33048202059.0,66582089210.0,-37353541440.0,16844230742.0,44788076295.0,-7.5,138.48,95.7,3.37,132.69,88.41,9.38,136.75,85.92,0.1,-68.24,-6.48,-50.36,443511158509.0,355324568484.0,523650509725.0,405262570912.0,646587484981.0,481987958589.0,448214310434.0,386670789721.0,728931700430.0,570535532536.0,34368944960.0,25916332127.0,53379796909.0,22029790838.0,11.91,144.26,84.7,5.7,124.65,87.68,17.55,93.73,27.76,32.62
014285,금강공업우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014440,영보화학,CFS,105864591841.0,99966539342.0,78988956061.0,18938924688.0,19236817612.0,15126566142.0,19444996324.0,19723072777.0,15171620649.0,191292261775.0,182857623279.0,163864004675.0,120111147525.0,117566592036.0,90279029906.0,19288709898.0,19402482507.0,6950540599.0,16829860497.0,22553727481.0,5960794948.0,8.8,10.17,558.98,12.33,10.79,519.66,3.64,9.26,522.19,2.16,-0.59,30.23,179.15,75676481194.0,76244763513.0,21644258116.0,24608961599.0,22013068492.0,24685849929.0,158436328623.0,155212257366.0,82988929798.0,76803020296.0,4973486413.0,4369192311.0,6689328943.0,3501714002.0,4.22,13.89,349.64,2.26,15.9,309.83,8.78,39.75,8.05,13.83
014470,부방,CFS,74914909479.0,107492661291.0,76168249259.0,54565952170.0,126858892049.0,122144645999.0,77659367967.0,148492977426.0,142502944671.0,172102811041.0,168774792056.0,157370343494.0,319483898417.0,348186460187.0,331046894011.0,1752619977.0,4873277070.0,-342355688.0,2327596992.0,11519268610.0,-26004983702.0,1.35,45.12,137.29,6.83,87.98,84.73,-16.52,90.55,62.36,-8.24,-64.04,5.18,1523.45,118361795052.0,76177509322.0,164684665327.0,149964179074.0,183838660440.0,189604420431.0,184681693092.0,156706650241.0,338458898642.0,319767433431.0,915792675.0,-4330515940.0,31262325196.0,-14580652884.0,16.93,99.54,71.87,-9.3,120.99,50.8,-2.19,-137.38,5.85,121.15
014530,극동유화,CFS,195351250666.0,202363367662.0,205772521224.0,213869855371.0,216422931863.0,158022894664.0,270995200193.0,246369399377.0,216137142605.0,233239478556.0,232185622191.0,213878094020.0,1021727866612.0,1062833512172.0,1157998807210.0,15446578571.0,22878631372.0,27841803020.0,1302280189.0,9642293305.0,15093999527.0,0.56,116.19,91.34,4.15,106.11,93.5,7.06,101.06,130.22,-3.87,-32.48,-8.22,-17.83,169686700343.0,145898981055.0,127554547499.0,112208708180.0,147759136082.0,139852066541.0,205316910692.0,182083281932.0,1242475835454.0,964831742550.0,30590826516.0,20485805841.0,20430242683.0,11007701446.0,9.95,71.97,133.03,6.05,76.81,130.02,-6.8,-8.99,28.78,49.33
014570,고려제약,CFS,69065682993.0,62925434190.0,63425721052.0,8291540197.0,7210112260.0,9902147939.0,11246687509.0,10781299945.0,12618965065.0,83071767586.0,78106002539.0,77090082740.0,62508834676.0,73001424478.0,81374983430.0,6913176836.0,9138456105.0,18025892026.0,6512029112.0,2995105179.0,-4916772792.0,7.84,13.54,832.97,3.83,13.8,872.74,-6.38,16.37,640.52,-14.37,-24.35,-10.29,-49.3,72616549926.0,70449632613.0,7411697287.0,10329033515.0,9803724937.0,11922708939.0,84712633263.0,76689902302.0,79984056441.0,74465727431.0,14329019414.0,11266187438.0,11808841484.0,9042317864.0,13.94,11.57,979.76,11.79,15.55,682.05,1.74,25.8,7.41,27.19
014580,태경비케이,CFS,194766307745.0,146425697867.0,148954977261.0,64335543287.0,56240750537.0,63891219664.0,206135539480.0,73702842253.0,85138588296.0,419905495218.0,311906332929.0,292902443113.0,385942613685.0,308594841506.0,294162114095.0,40782720982.0,42222650666.0,40076503357.0,32819527163.0,34803878213.0,34255565024.0,7.82,49.09,302.74,11.16,23.63,260.36,11.7,29.07,233.14,25.06,-3.41,4.91,5.36,146184796631.0,123841368096.0,75674736765.0,65993127478.0,96292879506.0,97539784985.0,264947299130.0,234842638543.0,345051212031.0,195157043546.0,31945997236.0,19603002069.0,28816693926.0,15491051806.0,10.88,36.34,193.18,6.6,41.53,187.66,-14.75,25.45,76.81,62.96
014620,성광벤드,CFS,331177911234.0,310361598549.0,293870966852.0,29708697363.0,34883625786.0,35646447524.0,40770818528.0,44348506483.0,45656936841.0,549501000618.0,518749675916.0,505416038046.0,245669879092.0,227683121973.0,254692907041.0,41955658561.0,41988089482.0,44833439099.0,34432123396.0,41007522794.0,39169123100.0,6.27,7.42,1114.75,7.91,8.55,889.71,7.75,9.03,824.4,7.9,-0.08,-10.6,-6.35,273411518468.0,223195939553.0,43060009503.0,45736511649.0,55371337984.0,59334517183.0,471742715459.0,434477046736.0,244025545479.0,136921765121.0,26760618158.0,-8050626341.0,39244701512.0,-1215049861.0,8.32,11.74,634.95,-0.28,13.66,488.0,4.37,67.54,78.22,432.4
014680,한솔케미칼,CFS,447927418690.0,348048080154.0,367414633780.0,274800694301.0,272370414176.0,247816973238.0,423081692446.0,393235114115.0,409492209835.0,1177266387675.0,1071443703044.0,941487453306.0,883968714104.0,776356975793.0,771654641559.0,156233146521.0,128825376120.0,124144351473.0,148134823618.0,124893890949.0,108690123238.0,12.58,35.94,163.0,11.66,36.7,127.78,11.54,43.49,148.26,13.86,21.28,0.61,3.77,386120253270.0,411301736920.0,153669789765.0,199711858483.0,400814014226.0,429305067616.0,852496588410.0,767869701413.0,885470791861.0,768688180555.0,185990108464.0,197684583161.0,166977755320.0,158670881601.0,19.59,47.02,251.27,20.66,55.91,205.95,-12.85,-33.25,15.19,-5.92
014710,사조씨푸드,CFS,116051272143.0,46153603126.0,63068295928.0,127876354102.0,90149299054.0,93547330669.0,184768816051.0,100104157747.0,102175105518.0,208309823864.0,237724628867.0,217962944164.0,238019779764.0,188281808578.0,176023865603.0,12175095763.0,9520883434.0,-34849471003.0,-28358816841.0,11803297365.0,-23096469897.0,-13.61,88.7,90.75,4.97,42.11,51.2,-10.6,46.88,67.42,26.42,27.88,6.96,127.32,99491937054.0,87497439240.0,97974738285.0,90018090610.0,111544268866.0,106936374686.0,239156185753.0,229994290195.0,201116169891.0,174614930293.0,13584493320.0,14004313349.0,8295233468.0,9842248327.0,3.47,46.64,101.55,4.28,46.5,97.2,-12.48,-356.54,15.18,-3.0
014790,HL D&I,CFS,1045618215845.0,916854791424.0,872270376607.0,857522079838.0,964613107281.0,834268033045.0,1370957473653.0,1228285239092.0,1268702893325.0,572278081057.0,474711222881.0,455597816346.0,1741923655122.0,1578826536286.0,1571977582483.0,79792369882.0,57892143574.0,50663745426.0,15192862270.0,21400499991.0,30678156227.0,2.65,239.56,121.93,4.51,258.74,95.05,6.73,278.47,104.56,10.33,37.83,0.44,14.27,766565951434.0,778188926771.0,679492692355.0,650866568075.0,1240232282310.0,1104826105380.0,427189513189.0,416525885145.0,1472088271680.0,1475299061534.0,52621392074.0,78587300029.0,25099610222.0,99926469194.0,5.88,290.32,112.81,23.99,265.25,119.56,6.79,-3.72,-0.22,-33.04
014820,동원시스템즈,CFS,596906828228.0,593875438854.0,557764506819.0,517639684226.0,452442102646.0,558912743064.0,668078508038.0,716177688598.0,761806993435.0,862644280784.0,836434543858.0,774050786167.0,1372874325188.0,1334257031663.0,1276650646414.0,66155675299.0,91904557765.0,80851256459.0,53724930722.0,72514840371.0,64350437874.0,6.23,77.45,115.31,8.67,85.62,131.26,8.31,98.42,99.79,2.89,-28.02,4.51,13.67,550242849405.0,638498500586.0,420866461449.0,514873965981.0,722040384353.0,826642450395.0,729629597917.0,665372288857.0,1436999451562.0,1250882270311.0,91839427774.0,89997435703.0,72334600495.0,48134726054.0,9.91,98.96,130.74,7.23,124.24,124.01,-11.16,-11.96,14.88,2.05
014825,동원시스템즈우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014830,유니드,CFS,692120359792.0,562354787006.0,570048574295.0,317931559546.0,217800064965.0,307904165833.0,441902160687.0,352543859657.0,356024268041.0,1081887669182.0,1012258117518.0,903111516380.0,1338757918765.0,1111631182007.0,1133715006136.0,87908807724.0,95444584358.0,32068843108.0,65259133113.0,76234953850.0,16264874026.0,6.03,40.85,217.69,7.53,34.83,258.2,1.8,39.42,185.14,20.43,-7.9,-1.95,197.62,848804647592.0,670806591175.0,542047732288.0,287065823533.0,587712511772.0,354619998629.0,901552165745.0,993090904135.0,1404902461611.0,877110344923.0,147870643696.0,148855095605.0,126750418660.0,182423116307.0,14.06,65.19,156.59,18.37,35.71,233.68,-19.3,-78.31,60.17,-0.66
014910,성문전자,CFS,30261147958.0,30580197774.0,27687352490.0,37046271157.0,29342093130.0,21959095342.0,39290151584.0,34099639612.0,24201250428.0,44122285757.0,41327217082.0,36711469969.0,53675382629.0,48061878139.0,45063801937.0,1673330872.0,1103250622.0,513645939.0,2018979074.0,2704580685.0,-1626600141.0,4.58,89.05,81.68,6.54,82.51,104.22,-4.43,65.92,126.09,11.68,51.67,6.65,114.79,38264060991.0,34919302343.0,23919722900.0,11739148959.0,25167616319.0,23623581165.0,32073699343.0,30762423136.0,49973898725.0,49343656972.0,2467546877.0,3442198787.0,2083804416.0,2973542781.0,6.5,78.47,159.97,9.67,76.79,297.46,-9.83,-79.18,1.28,-28.31
014915,성문전자우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014940,오리엔탈정공,CFS,86854603388.0,68812361580.0,55430486702.0,84637879687.0,78987276634.0,52290121611.0,112554859276.0,105554683482.0,110922418214.0,125352963601.0,110132169395.0,86882043727.0,207255774213.0,207305296706.0,157532717479.0,24278429322.0,24867578285.0,12763401545.0,19142498885.0,26053461644.0,8908859193.0,15.27,89.79,102.62,23.66,95.84,87.12,10.25,127.67,106.01,-0.02,-2.37,31.6,94.84,45626672007.0,43109508616.0,45323002678.0,29227227893.0,102050744297.0,111448017904.0,84800393850.0,75236710727.0,131568018289.0,115922943568.0,9180181375.0,6694787246.0,8371734355.0,4558175480.0,9.87,120.34,100.67,6.06,148.13,147.5,19.73,39.03,13.5,37.12
014950,삼익제약,CFS,56973513031.0,34128504755.0,28657901058.0,11746795507.0,10431911452.0,8876321117.0,16238307359.0,12356758129.0,10696940098.0,68984915354.0,51951945269.0,48335195224.0,60020414513.0,55857374361.0,51228980608.0,3272885603.0,3677956161.0,2796199375.0,-754888317.0,3522194507.0,2969268109.0,-1.09,23.54,485.01,6.78,23.78,327.15,6.14,22.13,322.86,7.45,-11.01,9.03,31.53,,,,,,,,,,,,,,,,,,,,,,,,
014970,삼륭물산,CFS,48267359966.0,46919566754.0,41957494219.0,38328673196.0,42779742357.0,36872224149.0,43008799684.0,47010456513.0,44514987516.0,56816177031.0,51948026743.0,60193769809.0,94256105408.0,94049530822.0,86280033374.0,6517348342.0,5786457572.0,1178662628.0,6044698736.0,-5600075706.0,2026435971.0,10.64,75.7,125.93,-10.78,90.5,109.68,3.37,73.95,113.79,0.22,12.63,9.0,390.93,47738429673.0,45302291345.0,44120096867.0,40054794023.0,52856987862.0,52098230295.0,59614103602.0,62881134758.0,90280280019.0,87692633489.0,-1171753276.0,914318075.0,-2621835777.0,-1257223166.0,-4.4,88.67,108.2,-2.0,82.85,113.1,-4.43,200.59,2.95,-228.16
014990,인디에프,CFS,45288974246.0,45517105261.0,48514698051.0,63434370044.0,48761886256.0,64664753405.0,77934521148.0,83474102455.0,75965445981.0,37928403107.0,37860333783.0,39623137112.0,104591440092.0,114737877861.0,126499790341.0,1191459864.0,-827177694.0,-2698436493.0,-107255720.0,-1362691726.0,-1654134615.0,-0.28,205.48,71.4,-3.6,220.48,93.35,-4.17,191.72,75.02,-8.84,244.04,-9.3,69.35,54812308324.0,72232544519.0,72805809780.0,71812301539.0,81801083054.0,87338281443.0,37944084318.0,41708437873.0,135333062918.0,148698938125.0,-13021781567.0,-21761150538.0,-10174562877.0,-18350974648.0,-26.81,215.58,75.29,-44.0,209.4,100.59,-6.53,79.28,-8.99,40.16
015020,이스타코,CFS,22012200544.0,14253220847.0,18875569533.0,45890308612.0,36465170706.0,33616114922.0,51350380339.0,40495659040.0,37121852831.0,37535588189.0,37436333189.0,42382566776.0,16428295245.0,11491693531.0,13270580140.0,-407494038.0,-3286469890.0,-1661140792.0,-1379411770.0,-4946233587.0,-2921578783.0,-3.67,136.8,47.97,-13.21,108.17,39.09,-6.89,87.59,56.15,42.96,87.6,-13.4,-97.84,19768810730.0,21352650376.0,31094510237.0,23863645186.0,34487215492.0,31761979271.0,45304145559.0,50325877630.0,7626732046.0,7060649411.0,-3170883298.0,-329699958.0,-5021732071.0,1497240167.0,-11.08,76.12,63.58,2.98,63.11,89.48,74.0,47.61,8.02,-861.75
015230,대창단조,CFS,261457120997.0,250300992393.0,221515052129.0,43521844091.0,40486249523.0,37308575376.0,78536207529.0,70997328719.0,62213191685.0,323284050270.0,301343784779.0,272538657429.0,346267051157.0,322237329620.0,372122590244.0,38033603172.0,30073913587.0,46442960961.0,27477320015.0,32945243186.0,33910342318.0,8.5,24.29,600.75,10.93,23.56,618.24,12.44,22.83,593.74,7.46,26.47,-13.41,-35.25,230719006603.0,197022439194.0,61283024353.0,52198079668.0,95831169725.0,71311980778.0,242397320483.0,227166438062.0,421497657834.0,354439661796.0,49857119260.0,29506417898.0,40053758985.0,28223118436.0,16.52,39.53,376.48,12.42,31.39,377.45,-11.71,-6.85,18.92,68.97
015260,에이엔피,CFS,38594736549.0,36069988010.0,38092306885.0,45892056063.0,60603407360.0,57362551131.0,78707805341.0,67638519716.0,62786246737.0,20474663579.0,25863672422.0,32249152578.0,117490390365.0,113490429822.0,140906023255.0,-7290597374.0,-5991747978.0,-1824839750.0,-14186943068.0,-10344565858.0,-10024836016.0,-69.29,384.42,84.1,-40.0,261.52,59.52,-31.09,194.69,66.41,3.52,-21.68,-19.46,-228.34,47611035041.0,25786468773.0,57564189592.0,33097270109.0,76747049774.0,52058401194.0,30052140226.0,29971709571.0,107458778217.0,69285788506.0,-10679035041.0,-11966559122.0,-30357952707.0,-11948327703.0,-101.02,255.38,82.71,-39.87,173.69,77.91,31.13,82.91,55.09,10.76
015360,INVENI,CFS,374210003000.0,314600657000.0,490272111000.0,386290657000.0,403064256000.0,533767322000.0,912265659000.0,737154980000.0,855030228000.0,645396467000.0,476675264000.0,503009253000.0,1327599497000.0,1160352396000.0,1142129455000.0,111715072000.0,24270272000.0,13184350000.0,86715394000.0,28572120000.0,34053372000.0,13.44,141.35,96.87,5.99,154.65,78.05,6.77,169.98,91.85,14.41,360.3,1.6,84.08,600113682000.0,554965102000.0,670344420000.0,422155970000.0,971855140000.0,889444520000.0,519538661000.0,533558018000.0,1470167011000.0,1290005562000.0,1459528000.0,66156826000.0,-2469725000.0,26557568000.0,-0.48,187.06,89.52,4.98,166.7,131.46,-2.7,3838.71,13.97,-97.79
015590,DKME,CFS,124558727383.0,143770544326.0,140694637596.0,43131855807.0,77469008174.0,82519903294.0,62448338471.0,87188099607.0,93839584970.0,125204015865.0,126760950569.0,126211456990.0,133411972702.0,136623566311.0,137250775712.0,10025825849.0,9474538202.0,12731268893.0,-2877621783.0,2341094260.0,12617432696.0,-2.3,49.88,288.79,1.85,68.78,185.58,10.0,74.35,170.5,-2.35,5.82,-0.46,-25.58,130896715204.0,93777741564.0,79957946686.0,62453122644.0,82860308311.0,67845866319.0,109826948997.0,98020237880.0,105673907331.0,80705226869.0,12936915150.0,-14968117999.0,11278003463.0,-13018202749.0,10.27,75.45,163.71,-13.28,69.22,150.16,29.88,-0.41,30.94,186.43
015710,코콤,CFS,63491066943.0,63251963445.0,55314003244.0,13034873507.0,18766645025.0,12265179341.0,19962093505.0,25442771784.0,18984524907.0,130914947775.0,123985810890.0,123113752019.0,95770916172.0,104993315733.0,100488220566.0,2999271369.0,3727784568.0,1911182143.0,5712743042.0,2402516215.0,3030553227.0,4.36,15.25,487.09,1.94,20.52,337.04,2.46,15.42,450.98,-8.78,-19.54,4.48,95.05,61709462426.0,68494285215.0,20593922697.0,17849336617.0,29125942226.0,33093308976.0,120415513933.0,124497045297.0,95280775618.0,92662745478.0,-2284834592.0,3914050348.0,-2646292196.0,4311503107.0,-2.2,24.19,299.65,3.46,26.58,383.74,5.47,183.65,2.83,-158.38
015750,성우하이텍,CFS,2137753032447.0,2016483442334.0,1862357141670.0,2057656123178.0,1965804109636.0,1846843269297.0,2793950166991.0,2721044802192.0,2390828928961.0,2073091920916.0,1842065789472.0,1644843200394.0,4382670411366.0,4245092707610.0,4321987308635.0,242683147425.0,205882638168.0,256728659148.0,177848204213.0,135061912598.0,175705270904.0,8.58,134.77,103.89,7.33,147.72,102.58,10.68,145.35,100.84,3.24,17.87,-1.78,-19.81,1602080402854.0,1541519876362.0,1885767111853.0,1658256996897.0,2213559723081.0,2126165644483.0,1450611326732.0,1380154729783.0,3976784541043.0,3348421188752.0,102793647469.0,77648473049.0,38511491705.0,39036280685.0,2.65,152.59,84.96,2.83,154.05,92.96,8.68,149.75,18.77,32.38
015760,한국전력,CFS,30715388000000.0,29255205000000.0,29536215000000.0,67107317000000.0,63968789000000.0,61248421000000.0,205604513000000.0,205444962000000.0,202450215000000.0,49322944000000.0,41362833000000.0,37264750000000.0,97429346000000.0,93398896000000.0,88219461000000.0,13490557000000.0,8364710000000.0,-4541648000000.0,8666656000000.0,3621968000000.0,-4716144000000.0,17.57,416.85,45.77,8.76,496.69,45.73,-12.66,543.28,48.22,4.32,61.28,5.87,284.18,29750545000000.0,22050845000000.0,44518577000000.0,31732220000000.0,192804738000000.0,145797021000000.0,42000256000000.0,65326706000000.0,71257863000000.0,60673587000000.0,-32655153000000.0,-5846499000000.0,-24429108000000.0,-5215581000000.0,-58.16,459.06,66.83,-7.98,223.18,69.49,23.8,86.09,17.44,-458.54
