종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
036620,감성코퍼레이션,CFS,134405243093.0,127129107531.0,38854239292.0,28409381538.0,50866045100.0,41864080477.0,133957581675.0,112447789446.0,250195090117.0,220396656168.0,44631054064.0,36053423698.0,35417260132.0,29259595007.0
036630,세종텔레콤,CFS,82638933609.0,232616177599.0,87109110008.0,117370772340.0,182969375171.0,223923068700.0,172990326958.0,270086047406.0,284195339074.0,371390754350.0,-10752773678.0,-12136039289.0,8009050060.0,-33191927184.0
036640,HRS,CFS,83600014379.0,87217986853.0,9002019185.0,10027695080.0,12890502969.0,13170342931.0,129649419557.0,122643203451.0,78910003465.0,80234100280.0,13417972161.0,14940303815.0,13525622447.0,15109839930.0
036670,삼양케이씨아이,CFS,101400208902.0,90945082781.0,18178487145.0,17321714187.0,18698156436.0,17689482768.0,125529500726.0,118486995967.0,116839597551.0,110184780128.0,10893690098.0,15021799262.0,9742698115.0,14713152964.0
036690,코맥스,CFS,28978840888.0,42665529856.0,66161445055.0,65899365021.0,82453070387.0,82236700910.0,10947343674.0,26207157287.0,85126354242.0,117161884091.0,-14175346003.0,-12335797653.0,-15117560666.0,-16796298127.0
036710,심텍홀딩스,CFS,584192629927.0,443380167105.0,964689506772.0,950277690768.0,1222534741514.0,1190642671630.0,373911861641.0,278656340332.0,1528084012715.0,1302111613999.0,-34264413583.0,-131512573158.0,-151085741073.0,-112319134785.0
036800,나이스정보통신,CFS,976264004905.0,906232282342.0,744495979257.0,725838839571.0,758374117313.0,736704810545.0,437666418098.0,385856252789.0,1094683988076.0,975137479129.0,55292809712.0,39874639225.0,45225881269.0,37651588775.0
036810,에프에스티,CFS,154934203691.0,143687391034.0,174488509619.0,159194611393.0,297754762082.0,262008001057.0,242315300541.0,244135781322.0,280262733555.0,237408450542.0,-546526969.0,2287271800.0,-14329719293.0,-1637674189.0
036830,솔브레인홀딩스,CFS,629340996720.0,356256357447.0,505888611799.0,394654953375.0,711208582118.0,507190299178.0,1947608602973.0,1495160062192.0,556646781397.0,433749481738.0,8859913929.0,31810422475.0,495558016939.0,55294686026.0
036890,진성티이씨,CFS,322033322565.0,317192998284.0,187284165674.0,173151444155.0,216644730564.0,193060380276.0,297533691962.0,262294164990.0,463820413148.0,390515286432.0,47942987124.0,24441981984.0,32643052549.0,20961082242.0
