종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월
005420,코스모화학,KOSPI,1835,60,-12,-11.24,3368,38408,12.0
005430,한국공항,KOSPI,1780,197,192,11.29,2510,3166,12.0
005440,현대지에프홀딩스,KOSPI,20837,1176,1862,8.69,23456,183397,12.0
005490,POSCO홀딩스,KOSPI,178761,7068,7566,1.46,240101,79241,12.0
005500,삼진제약,KOSPI,0,0,0,0.0,2364,13320,12.0
005610,삼립,KOSPI,8123,-43,-82,-0.53,3171,8629,12.0
005680,삼영전자,KOSPI,392,21,43,0.75,2598,20000,12.0
005690,파미셀,KOSPI,649,47,63,7.59,6426,60004,12.0
005720,넥센,KOSPI,9375,676,941,7.79,3100,52543,12.0
005725,넥센우,KOSPI,0,0,0,0.0,153,3600,12.0
005740,크라운해태홀딩스,KOSPI,2616,149,128,4.9,821,14847,12.0
005745,크라운해태홀딩스우,KOSPI,0,0,0,0.0,30,600,12.0
005750,대림바스,KOSPI,758,56,53,9.12,679,16592,12.0
005800,신영와코루,KOSPI,442,2,5,1.18,1192,9000,12.0
005810,풍산홀딩스,KOSPI,1210,353,355,8.01,4786,14417,12.0
005820,원림,KOSPI,207,12,17,2.86,301,2297,12.0
005830,DB손해보험,KOSPI,71054,4130,4132,0.0,105914,65500,12.0
005850,에스엘,KOSPI,13880,1438,1813,13.92,24478,46448,12.0
005870,휴니드,KOSPI,2308,91,137,6.45,609,14116,12.0
005880,대한해운,KOSPI,2778,744,622,7.89,5761,322747,12.0
005930,삼성전자,KOSPI,1338734,572328,588284,19.16,15141861,5846278,12.0
005935,삼성전자우,KOSPI,0,0,0,0.0,1452291,802371,12.0
005940,NH투자증권,KOSPI,81720,6367,6501,0.0,109838,369206,12.0
005945,NH투자증권우,KOSPI,0,0,0,0.0,4566,18870,12.0
005950,이수화학,KOSPI,6359,254,259,-2.28,3313,26294,12.0
005960,동부건설,KOSPI,4346,101,180,9.84,1438,22946,12.0
005965,동부건설우,KOSPI,0,0,0,0.0,36,225,12.0
006040,동원산업,KOSPI,25300,1462,1476,12.7,14654,44140,12.0
006060,화승인더,KOSPI,4082,85,55,4.8,1327,55320,12.0
006090,사조오양,KOSPI,4007,209,164,5.61,778,9422,12.0
006110,삼아알미늄,KOSPI,674,-44,-58,-11.5,4627,15123,12.0
006120,SK디스커버리,KOSPI,32892,1898,3015,8.56,8776,17413,12.0
006125,SK디스커버리우,KOSPI,0,0,0,0.0,453,1231,12.0
006200,한국전자홀딩스,KOSPI,777,-29,-29,-2.09,216,9360,12.0
006220,제주은행,KOSPI,933,9,49,2.48,3469,37798,12.0
006260,LS,KOSPI,95044,4756,3047,6.84,85800,31200,12.0
006280,녹십자,KOSPI,4355,117,286,-1.12,13860,11686,12.0
006340,대원전선,KOSPI,1892,147,141,9.86,9284,78414,12.0
006345,대원전선우,KOSPI,0,0,0,0.0,267,2621,12.0
006360,GS건설,KOSPI,24005,735,637,1.4,21908,85581,12.0
006370,대구백화점,KOSPI,126,-38,-72,-21.65,608,10821,12.0
006380,카프로,KOSPI,71,-324,338,102.36,6185,168999,12.0
006400,삼성SDI,KOSPI,35764,-2361,-434,-2.17,335638,80585,12.0
006405,삼성SDI우,KOSPI,0,0,0,0.0,2965,1617,12.0
006490,프리티,KOSPI,242,-15,11,-92.67,324,29577,12.0
006570,대림통상,KOSPI,344,-6,-12,-34.2,309,15225,12.0
006650,대한유화,KOSPI,8471,736,835,4.52,6259,6500,12.0
006660,삼성공조,KOSPI,267,16,38,3.15,1064,8126,12.0
006740,블루산업개발,KOSPI,245,-5,-17,-23.44,207,23739,12.0
006800,미래에셋증권,KOSPI,144287,13750,13576,0.0,208438,559566,12.0
006805,미래에셋증권우,KOSPI,0,0,0,0.0,1819,14075,12.0
00680K,미래에셋증권2우B,KOSPI,0,0,0,0.0,16188,136500,12.0
006840,AK홀딩스,KOSPI,9377,672,-41,-2.87,801,13247,12.0
