종목코드,종목명,재무제표종류,유동자산_2025,유동자산_2024,유동부채_2025,유동부채_2024,부채총계_2025,부채총계_2024,자본총계_2025,자본총계_2024,매출액_2025,매출액_2024,영업이익_2025,영업이익_2024,당기순이익_2025,당기순이익_2024
000270,기아,CFS,41271414000000.0,41797457000000.0,27473136000000.0,26977376000000.0,36751668000000.0,36915565000000.0,56910558000000.0,55840309000000.0,57367145000000.0,53780758000000.0,5773354000000.0,7069442000000.0,4660812000000.0,5765674000000.0
000300,DH오토넥스,CFS,14956673410.0,26813922849.0,26295339775.0,29190990620.0,34967254734.0,39899647221.0,27952992781.0,26161988954.0,16632591754.0,17191021299.0,-1551839222.0,-589844085.0,973272748.0,-13525494906.0
000320,노루홀딩스,CFS,633941988112.0,618344524322.0,371550491188.0,358871107456.0,462479729901.0,442599207599.0,772627050415.0,772239740646.0,637748229447.0,625646715106.0,35886740163.0,45400900216.0,25762275218.0,39070647199.0
000325,노루홀딩스우,,,,,,,,,,,,,,,
000370,한화손해보험,CFS,,,,,17973772328000.0,16881077313000.0,2691399803000.0,2953083271000.0,,,,,197381250000.0,224528397000.0
000390,SP삼화,CFS,320996557872.0,309605425089.0,232099896259.0,259275948055.0,300195105188.0,289704209848.0,323218932719.0,329610877682.0,310778235397.0,323065010759.0,4569464339.0,15507073411.0,6276408097.0,13102129995.0
000400,롯데손해보험,CFS,,,,,14234570000000.0,14747239000000.0,598326000000.0,794239000000.0,,,,,47461000000.0,57306000000.0
000430,대원강업,CFS,558811627000.0,534673538000.0,569739169000.0,544575655000.0,662733684000.0,621334585000.0,689832926000.0,681014742000.0,803685451000.0,579622832000.0,34974750000.0,11044052000.0,23718750000.0,12126138000.0
000480,CR홀딩스,CFS,526513255000.0,509568451000.0,554466702000.0,687414034000.0,815044710000.0,835588274000.0,844254334000.0,862107307000.0,417555015000.0,398588757000.0,14537808000.0,16528406000.0,2515354000.0,12080583000.0
000490,대동,CFS,1116684804294.0,1133886383951.0,1047106683910.0,1101155537489.0,1522501220605.0,1531411970874.0,674463505113.0,601215345248.0,801351914912.0,774879850982.0,46815759988.0,47615005872.0,15922270453.0,12535497210.0
000500,가온전선,CFS,861361411000.0,654804752000.0,654243168000.0,518334366000.0,797976140000.0,589179383000.0,449102202000.0,453705043000.0,1282586959000.0,812141386000.0,45117109000.0,23262702000.0,29652150000.0,15773068000.0
000520,삼일제약,CFS,87735890069.0,91345650494.0,138947402302.0,106660109599.0,226313310200.0,218947290895.0,149262817088.0,176123873044.0,106073620548.0,108586888757.0,-8485016709.0,3212161959.0,-15578612900.0,-1392218626.0
000540,흥국화재,CFS,,,,,12298365000000.0,12122030000000.0,883601000000.0,772659000000.0,,,,,132343000000.0,87407000000.0
000545,흥국화재우,,,,,,,,,,,,,,,
000590,CS홀딩스,CFS,269880226162.0,267523910482.0,19240646500.0,23777076696.0,32307682298.0,35090175721.0,381868575038.0,377496622222.0,68493268419.0,70170291891.0,11485347939.0,10539618555.0,8029598564.0,14385035392.0
000640,동아쏘시오홀딩스,CFS,476794358377.0,449172482597.0,652404977434.0,703282253044.0,936825879307.0,966546316740.0,1113137429167.0,1063937470276.0,675300705305.0,629410970622.0,48509984285.0,37859606096.0,55993556718.0,24710618397.0
000650,천일고속,CFS,2854992165.0,3614554270.0,20615134039.0,20146010641.0,40023356651.0,39416038248.0,12965418569.0,14086493860.0,22173082256.0,21714739100.0,-3470720091.0,-3514861592.0,-1094986591.0,-2116573843.0
000660,SK하이닉스,CFS,45203170000000.0,42278887000000.0,25324404000000.0,24965444000000.0,41945296000000.0,45939505000000.0,87142485000000.0,73915704000000.0,39871093000000.0,28852856000000.0,16653355000000.0,8354565000000.0,15104411000000.0,6037042000000.0
000670,영풍,CFS,1270145454275.0,1556095230506.0,830563859286.0,927947129412.0,1500702731267.0,1716406429617.0,4213672257010.0,3985301285146.0,1171710161702.0,1493466969945.0,-150408142288.0,-43114131354.0,264277037899.0,45496066913.0
000680,LS네트웍스,CFS,7890514997491.0,6941205350867.0,9628141750905.0,8038791827299.0,10347327919885.0,8670672911334.0,941691615383.0,930832206826.0,993347724645.0,882622183459.0,48692362745.0,38384586269.0,23094232405.0,14070035056.0
