종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,고유번호,재무제표종류,매출액_당기,매출액_전기,영업이익_당기,영업이익_전기,영업이익_전전기,부채총계,자본총계,유동자산,유동부채,매출액성장률(%),영업이익성장률(%),부채비율(%),유동비율(%),3년연속흑자
003540,대신증권,KOSPI,24014,1025,1941,0.0,12131,47666,12.0,00110893,CFS,4460517372000.0,3408492432000.0,,,,24665628020000.0,4131595939000.0,,,30.86,,597.0,,
003545,대신증권우,KOSPI,0,0,0,0.0,4764,24383,12.0,,,,,,,,,,,,,,,,
003547,대신증권2우B,KOSPI,0,0,0,0.0,1824,9606,12.0,,,,,,,,,,,,,,,,
003550,LG,KOSPI,18006,4138,4427,1.73,147109,151192,12.0,00120021,CFS,884989000000.0,931567000000.0,597132000000.0,654739000000.0,751375000000.0,521705000000.0,9866118000000.0,1360977000000.0,291684000000.0,-5.0,-8.8,5.29,466.59,True
003555,LG우,KOSPI,0,0,0,0.0,1897,3011,12.0,,,,,,,,,,,,,,,,
003570,SNT다이내믹스,KOSPI,1799,213,239,7.65,10707,33252,12.0,00134477,CFS,605135967023.0,519822735845.0,83373890170.0,107980693567.0,40012677915.0,340219021382.0,858162269281.0,676721003063.0,171332823863.0,16.41,-22.79,39.65,394.97,True
003580,HLB글로벌,KOSPI,267,-25,-29,-5.24,623,50663,12.0,00169048,CFS,60083737967.0,61675444629.0,-5209099778.0,2123937113.0,-1543901878.0,30985747170.0,71186146402.0,25292155421.0,28634056167.0,-2.58,-345.26,43.53,88.33,False
003610,방림,KOSPI,625,-7,65,3.76,1628,32110,9.0,00122348,CFS,78900679787.0,68778828693.0,725544934.0,-2106295139.0,59065316.0,28009845256.0,180203817685.0,96654620496.0,20251263820.0,14.72,134.45,15.54,477.28,False
003620,KG모빌리티,KOSPI,11414,96,249,4.83,5494,202374,12.0,00138242,CFS,4243263756974.0,3782501839723.0,53553898251.0,12317689437.0,4976149644.0,1790826638481.0,1510629715309.0,1265216740144.0,970964038742.0,12.18,334.77,118.55,130.31,True
003650,미창석유,KOSPI,4319,456,675,13.54,2485,1739,12.0,00122056,CFS,405486654859.0,431941622345.0,34552364423.0,45639201298.0,47989880016.0,54549912028.0,479410729146.0,410339910456.0,38982994177.0,-6.12,-24.29,11.38,1052.61,True
003670,포스코퓨처엠,KOSPI,7575,177,100,-0.4,123279,88946,12.0,00155276,CFS,2676968855833.0,3608988009617.0,23585223953.0,28918049735.0,34958588238.0,3927338994495.0,3900756568355.0,1895998659915.0,1338930319004.0,-25.82,-18.44,100.68,141.61,True
003680,한성기업,KOSPI,3325,110,33,4.25,534,6209,12.0,00161860,CFS,318445028569.0,332486628912.0,5831182465.0,11004187308.0,8212086865.0,176399384042.0,67328358710.0,128059334146.0,125251201394.0,-4.22,-47.01,262.0,102.24,True
003690,코리안리,KOSPI,17737,2912,2905,0.0,23645,176721,12.0,00113191,CFS,,,,,,10340348790039.0,3659456675717.0,,,,,282.57,,
003720,삼영,KOSPI,484,60,67,19.68,1938,34000,12.0,00127255,CFS,96268883611.0,92773212579.0,8520342961.0,7186304600.0,5753823202.0,64868676780.0,85662377205.0,47741910699.0,30747369183.0,3.77,18.56,75.73,155.27,True
003780,진양산업,KOSPI,222,17,17,10.63,609,13000,12.0,00150439,CFS,61645775585.0,62218582914.0,5459569976.0,5711232950.0,5725442169.0,13772498436.0,56274069545.0,19742085411.0,12269490894.0,-0.92,-4.41,24.47,160.9,True
003830,대한화섬,KOSPI,1238,-15,-64,-0.35,1450,1328,12.0,00113544,CFS,108225676813.0,123785673930.0,-7255414926.0,-1542476290.0,2392490401.0,126268778662.0,711010793390.0,86601230904.0,55916533534.0,-12.57,-370.37,17.76,154.88,False
003850,보령,KOSPI,2554,202,539,12.78,6974,85787,12.0,00123143,CFS,967810858971.0,966462334729.0,67340425371.0,69682971035.0,65780044696.0,532664547783.0,841135539754.0,646785735942.0,245609061319.0,0.14,-3.36,63.33,263.34,True
003920,남양유업,KOSPI,2252,5,82,1.57,2451,6000,12.0,00107598,CFS,879032515798.0,937276555258.0,8758838242.0,-3021880235.0,-65791374506.0,162650394286.0,824459866791.0,326099187786.0,89344688209.0,-6.21,389.85,19.73,364.99,False
003925,남양유업우,KOSPI,0,0,0,0.0,628,2000,12.0,,,,,,,,,,,,,,,,
003960,사조대림,KOSPI,8863,238,199,-10.59,2708,9164,12.0,00109718,CFS,1445409405612.0,1406688790061.0,37300155280.0,65056004568.0,74800378056.0,502155084089.0,618661690063.0,371561448135.0,427710695243.0,2.75,-42.66,81.17,86.87,True
004000,롯데정밀화학,KOSPI,5107,327,554,5.1,11726,25800,12.0,00157681,CFS,1750345284209.0,1671976516452.0,74511934132.0,50402756892.0,156373357908.0,301762265777.0,2237224176816.0,1051504447087.0,241408999204.0,4.69,47.83,13.49,435.57,True
004020,현대제철,KOSPI,57397,157,-321,0.04,33761,133445,12.0,00145880,CFS,17800125991157.0,18617621568224.0,89234860830.0,14969491017.0,650384176039.0,12488106931018.0,18967347582093.0,8794060625251.0,5798656320255.0,-4.39,496.11,65.84,151.66,True
004060,SG세계물산,KOSPI,277,-19,41,1.4,481,20242,12.0,00133511,CFS,117527448375.0,122108843657.0,1106949991.0,-386936460.0,1917853469.0,28839797034.0,263171828130.0,61182949404.0,24443635678.0,-3.75,386.08,10.96,250.3,False
004080,신흥,KOSPI,252,8,11,2.91,1304,9300,12.0,00173795,CFS,104202773679.0,101590801838.0,8232578868.0,6784955897.0,11342904463.0,29418840865.0,113507727845.0,53351763895.0,28885601320.0,2.57,21.34,25.92,184.7,True
004090,한국석유,KOSPI,1712,41,25,3.67,1424,12694,12.0,00157991,CFS,369560363319.0,389904791761.0,6870198187.0,9996519439.0,12290650358.0,161215864144.0,204221313438.0,105897955428.0,96987468907.0,-5.22,-31.27,78.94,109.19,True
004100,태양금속,KOSPI,1511,61,47,2.76,932,36700,12.0,00153755,CFS,349105580671.0,372822821118.0,14274544167.0,11180375509.0,18727898100.0,331578134529.0,169297085445.0,219526520949.0,256772930582.0,-6.36,27.67,195.86,85.49,True
004105,태양금속우,KOSPI,0,0,0,0.0,98,3300,12.0,,,,,,,,,,,,,,,,
004140,동방,KOSPI,2415,65,20,7.94,869,47971,12.0,00115287,CFS,857269141397.0,811674049459.0,30035056931.0,32004460092.0,31562443236.0,426606820253.0,171449177661.0,204620272338.0,209766858729.0,5.62,-6.15,248.82,97.55,True
004150,한솔홀딩스,KOSPI,2696,79,128,0.88,1228,41026,12.0,00171636,CFS,32261616810.0,29888307703.0,14843647345.0,12908140239.0,15270087641.0,15546660190.0,461368726607.0,62422955948.0,12830152641.0,7.94,14.99,3.37,486.53,True
004170,신세계,KOSPI,18471,1978,1849,1.71,53081,9445,12.0,00136378,CFS,2002552906597.0,1989928240821.0,238759752821.0,243370705616.0,276595294123.0,5076774196022.0,4301814802641.0,819874862009.0,2869361911516.0,0.63,-1.89,118.01,28.57,True
004250,NPC,KOSPI,1100,62,54,3.48,1066,36720,12.0,00108038,CFS,294584665574.0,318831733896.0,18029676201.0,8755249429.0,20303283705.0,104319772711.0,388008193687.0,70532090288.0,97900351254.0,-7.6,105.93,26.89,72.04,True
004255,NPC우,KOSPI,0,0,0,0.0,102,5280,12.0,,,,,,,,,,,,,,,,
004270,남성,KOSPI,185,11,58,0.57,225,3621,12.0,00172185,CFS,53069461458.0,52264374430.0,1930702874.0,2431166560.0,-165178665.0,120385600038.0,114418833190.0,61259747108.0,96172088884.0,1.54,-20.59,105.21,63.7,False
004310,현대약품,KOSPI,0,0,0,0.0,2185,32000,11.0,00164706,CFS,191790079025.0,175735499255.0,4160910933.0,180885917.0,6926929270.0,81112434730.0,82103210702.0,80827649866.0,71411100114.0,9.14,2200.3,98.79,113.19,True
004360,세방,KOSPI,2998,69,222,4.79,2377,19115,12.0,00133812,CFS,755455416761.0,775953629059.0,21476867247.0,18396353724.0,23580195873.0,195556402690.0,648556276941.0,137013604715.0,136298210638.0,-2.64,16.75,30.15,100.52,True
004365,세방우,KOSPI,0,0,0,0.0,328,3689,12.0,,,,,,,,,,,,,,,,
004370,농심,KOSPI,9340,674,809,6.36,21198,6082,12.0,00108241,CFS,2734714249425.0,2701618803858.0,133821590803.0,83730653345.0,124300734400.0,853356310753.0,2378764991516.0,1393818294848.0,723098196661.0,1.23,59.82,35.87,192.76,True
004380,삼익THK,KOSPI,654,-38,-53,-24.75,1666,20700,12.0,00127802,CFS,218571446719.0,303560679692.0,-35642898464.0,2895544458.0,7981554251.0,234678103777.0,153697520755.0,164412526016.0,214883226142.0,-28.0,-1330.96,152.69,76.51,False
004410,서울식품,KOSPI,586,-22,-30,-12.02,389,39455,12.0,00130879,CFS,68603497542.0,58588657427.0,-459735590.0,-2232262628.0,586533680.0,46068983654.0,26780173037.0,21084109180.0,35998574358.0,17.09,79.4,172.03,58.57,False
004415,서울식품우,KOSPI,0,0,0,0.0,9,222,12.0,,,,,,,,,,,,,,,,
004430,송원산업,KOSPI,2692,266,285,2.03,2899,24000,12.0,00134963,CFS,842453000000.0,898264000000.0,-8278000000.0,42759000000.0,15320000000.0,319835000000.0,659652000000.0,452662000000.0,268827000000.0,-6.21,-119.36,48.49,168.38,False
004440,삼일씨엔에스,KOSPI,2213,-17,-26,-0.75,622,12731,12.0,00109806,CFS,223128675519.0,221295516428.0,4995949054.0,-1674561213.0,5170081404.0,172652633596.0,268108489293.0,205792499768.0,166639598498.0,0.83,398.34,64.4,123.5,False
004450,삼화왕관,KOSPI,393,18,35,4.37,536,2154,12.0,00129235,CFS,126200827090.0,132540101811.0,5523116570.0,10110942776.0,11823281772.0,73477982369.0,117666567063.0,53144075595.0,23805258206.0,-4.78,-45.37,62.45,223.25,True
004490,세방전지,KOSPI,5254,333,483,8.3,7290,13860,12.0,00133858,CFS,1636524743951.0,1582033347837.0,144733712100.0,142496798863.0,95268241526.0,292281737152.0,1586173545445.0,955718469967.0,262987104165.0,3.44,1.57,18.43,363.41,True
