종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
088340,유라클,KOSDAQ,87,-8,-8,-31.0,270,4364,12.0,6810,-4.33,1.38,-1571.00,4922.00,4.77
088390,이녹스,KOSDAQ,144,8,11,12.0,646,9385,12.0,6910,2.80,0.37,2469.00,18657.00,-5.34
088800,에이스테크,KOSDAQ,332,-41,-37,-36.0,1228,75506,12.0,1743,-4.61,1.91,-378.00,914.00,-0.11
088910,동우팜투테이블,KOSDAQ,760,42,83,14.0,553,25721,12.0,2175,1.99,0.23,1095.00,9312.00,-1.58
089010,켐트로닉스,KOSDAQ,1745,74,50,2.0,3479,16770,12.0,20800,34.04,1.48,611.00,14012.00,-5.45
089030,테크윙,KOSDAQ,524,97,-78,2.0,17341,37053,12.0,45050,178.77,7.49,252.00,6018.00,-11.32
089140,넥스턴앤롤코리아,KOSDAQ,255,36,53,-5.0,329,15316,12.0,2270,-3.20,0.25,-710.00,9061.00,-1.52
089150,케이씨티,KOSDAQ,0,0,0,0.0,303,17150,12.0,1826,0.00,0.00,0.00,0.00,-4.40
089230,THE E&M,KOSDAQ,62,-21,-176,-130.0,515,38421,12.0,1327,-1.64,1.84,-809.00,722.00,-0.08
089600,KT나스미디어,KOSDAQ,0,0,0,0.0,1148,11568,12.0,10260,-18.39,0.58,-558.00,17644.00,0.59
089790,제이티,KOSDAQ,232,17,41,6.0,411,10315,12.0,3905,-156.20,0.56,-25.00,6972.00,-3.94
089850,유비벨록스,KOSDAQ,1534,-24,-14,-4.0,614,14730,12.0,4310,-8.78,0.47,-491.00,9085.00,-0.23
089890,코세스,KOSDAQ,126,15,25,16.0,3565,16584,12.0,24900,31.28,5.37,796.00,4635.00,-8.29
089970,브이엠,KOSDAQ,889,301,340,30.0,23509,26326,12.0,73300,72.00,10.74,1018.00,6824.00,-10.17
089980,상아프론테크,KOSDAQ,485,12,8,4.0,2089,15989,12.0,13620,32.27,1.05,422.00,13001.00,-3.20
090150,아이윈,KOSDAQ,275,16,22,22.0,208,41875,12.0,499,2.42,0.43,206.00,1162.00,0.00
090360,로보스타,KOSDAQ,251,1,9,-2.0,5742,9750,12.0,60600,-113.70,6.81,-533.00,8904.00,-10.09
090410,덕신이피씨,KOSDAQ,257,0,2,-1.0,319,46084,12.0,750,22.06,0.28,34.00,2720.00,1.21
090470,제이스로보틱스,KOSDAQ,64,-69,-64,-18.0,677,17476,12.0,3770,-2.66,0.48,-1417.00,7841.00,-6.91
090710,휴림로봇,KOSDAQ,300,-46,-8,-13.0,7520,119559,12.0,6560,-44.32,6.14,-148.00,1068.00,-9.77
090850,현대이지웰,KOSDAQ,463,74,81,21.0,1362,22477,12.0,6190,6.12,1.27,1011.00,4862.00,0.16
