종목코드,종목명,시장구분,매출액,영업이익,경상이익,ROE,시가총액,상장주수,결산월,현재가,PER,PBR,EPS,BPS,등락률
004100,태양금속,KOSPI,1511,61,47,2.76,932,36700,12.0,2355.0,27.07,0.56,87.0,4175.0,-0.42
004105,태양금속우,KOSPI,0,0,0,0.0,98,3300,12.0,2880.0,0.0,0.0,0.0,0.0,-1.37
004140,동방,KOSPI,2415,65,20,7.94,869,47971,12.0,1840.0,5.13,0.5,359.0,3677.0,-0.11
004150,한솔홀딩스,KOSPI,2696,79,128,0.88,1228,41026,12.0,3080.0,-205.33,0.23,-15.0,13574.0,0.98
004170,신세계,KOSPI,18471,1978,1849,1.71,53081,9445,12.0,510000.0,354.17,1.0,1440.0,508154.0,1.19
004250,NPC,KOSPI,1100,62,54,3.48,1066,36720,12.0,2960.0,9.61,0.25,308.0,11789.0,1.2
004255,NPC우,KOSPI,0,0,0,0.0,102,5280,12.0,1948.0,0.0,0.0,0.0,0.0,-1.12
004270,남성,KOSPI,185,11,58,0.57,225,3621,12.0,6270.0,-7.67,0.24,-818.0,25942.0,-3.09
004310,현대약품,KOSPI,0,0,0,0.0,2185,32000,11.0,5860.0,0.0,0.0,0.0,0.0,-4.09
004360,세방,KOSPI,2998,69,222,4.79,2377,19115,12.0,12960.0,4.52,0.24,2865.0,54806.0,-1.07
004365,세방우,KOSPI,0,0,0,0.0,328,3689,12.0,9400.0,0.0,0.0,0.0,0.0,0.11
004370,농심,KOSPI,9340,674,809,6.36,21198,6082,12.0,375000.0,13.41,0.77,27970.0,485193.0,2.04
004380,삼익THK,KOSPI,654,-38,-53,-24.75,1666,20700,12.0,7900.0,-3.68,1.04,-2146.0,7604.0,-0.25
004410,서울식품,KOSPI,586,-22,-30,-12.02,389,39455,12.0,1000.0,-125.0,16.39,-8.0,61.0,0.4
004415,서울식품우,KOSPI,0,0,0,0.0,9,222,12.0,5720.0,0.0,0.0,0.0,0.0,-13.33
004430,송원산업,KOSPI,2692,266,285,2.03,2899,24000,12.0,12760.0,131.55,0.4,97.0,31671.0,0.47
004440,삼일씨엔에스,KOSPI,2213,-17,-26,-0.75,622,12731,12.0,5060.0,-32.03,0.24,-158.0,20976.0,-1.17
004450,삼화왕관,KOSPI,393,18,35,4.37,536,2154,12.0,25800.0,12.96,0.42,1991.0,61829.0,0.39
004490,세방전지,KOSPI,5254,333,483,8.3,7290,13860,12.0,52400.0,5.2,0.43,10076.0,121686.0,-1.5
004540,깨끗한나라,KOSPI,1251,-40,-69,-26.93,480,37240,12.0,1217.0,-0.96,0.27,-1263.0,4539.0,-1.14
004545,깨끗한나라우,KOSPI,0,0,0,0.0,15,366,12.0,4555.0,0.0,0.0,0.0,0.0,-8.9
004560,현대비앤지스틸,KOSPI,1997,84,65,3.21,1614,15078,12.0,11220.0,11.5,0.33,976.0,34303.0,-1.23
004690,삼천리,KOSPI,18095,1102,1249,7.27,4058,3626,12.0,117100.0,4.26,0.24,27498.0,491062.0,-1.76
004700,조광피혁,KOSPI,902,72,155,2.58,4248,6649,12.0,63800.0,33.65,0.75,1896.0,84592.0,-0.93
004710,한솔테크닉스,KOSPI,3160,141,146,-4.67,3733,40629,12.0,7270.0,-19.13,0.85,-380.0,8521.0,-1.36
004720,팜젠사이언스,KOSPI,429,20,-7,0.05,788,22654,12.0,3415.0,22.18,0.25,154.0,13736.0,-0.73
004770,써니전자,KOSPI,128,26,55,5.36,578,35507,12.0,1620.0,13.5,0.71,120.0,2295.0,-0.37
004800,효성,KOSPI,5302,946,995,14.53,24424,16740,12.0,151000.0,7.66,1.03,19707.0,146168.0,-3.7
004830,덕성,KOSPI,343,9,7,3.84,511,15680,12.0,3315.0,10.3,0.52,322.0,6371.0,0.61
004835,덕성우,KOSPI,0,0,0,0.0,55,1392,12.0,3965.0,0.0,0.0,0.0,0.0,0.13
004840,DRB동일,KOSPI,2000,59,105,0.9,813,19272,12.0,4355.0,19.44,0.21,224.0,20966.0,0.0
004870,티웨이홀딩스,KOSPI,52,-52,-250,-13.15,279,113163,12.0,949.0,-5.13,0.72,-185.0,1325.0,-3.06
004890,동일산업,KOSPI,829,29,104,-1.19,839,2425,12.0,34750.0,-6.53,0.18,-5321.0,189781.0,0.0
004910,조광페인트,KOSPI,464,-62,-43,-8.13,437,12800,12.0,3460.0,-4.28,0.17,-808.0,20669.0,-0.86
004920,씨아이테크,KOSPI,66,-15,105,31.75,489,52179,12.0,967.0,3.33,0.69,290.0,1403.0,-3.2
004960,한신공영,KOSPI,2524,193,183,8.44,1137,11570,12.0,10160.0,1.96,0.14,5172.0,72296.0,0.0
004970,신라교역,KOSPI,859,45,162,2.52,1457,16000,12.0,9250.0,31.9,0.24,290.0,38108.0,-0.54
004980,성신양회,KOSPI,2850,8,-48,5.2,1924,24516,12.0,7900.0,7.68,0.33,1029.0,23623.0,0.38
004985,성신양회우,KOSPI,0,0,0,0.0,60,735,12.0,8550.0,0.0,0.0,0.0,0.0,-0.23
004990,롯데지주,KOSPI,36222,461,422,-8.64,22125,99663,12.0,23550.0,-3.84,0.3,-6125.0,79142.0,0.43
00499K,롯데지주우,KOSPI,0,0,0,0.0,178,805,12.0,22500.0,0.0,0.0,0.0,0.0,-0.66
005010,휴스틸,KOSPI,1479,-53,-14,-1.55,2005,56188,12.0,3730.0,-13.92,0.2,-268.0,18820.0,-1.71
005030,부산주공,KOSPI,0,0,0,0.0,450,92782,12.0,486.0,0.0,0.0,0.0,0.0,0.0
005070,코스모신소재,KOSPI,5697,250,200,3.62,11658,33214,12.0,34600.0,63.72,2.27,543.0,15248.0,-0.86
005090,SGC에너지,KOSPI,6115,357,123,-7.83,5439,14409,12.0,45150.0,-10.6,0.93,-4259.0,48667.0,-8.42
005110,한창,KOSPI,8,-19,-71,2845.77,264,21106,12.0,1254.0,0.41,1.53,3053.0,819.0,0.0
