종목코드,3개월수익률(%),6개월수익률(%),12개월수익률(%),평균거래대금(억원)
011690,-60.86,-24.88,-3.81,40.0
011700,-48.84,-44.77,-35.95,24.8
011760,-26.18,3.31,-11.36,10.8
011780,-6.75,-15.49,0.08,124.0
011785,-15.38,-29.33,-22.75,3.8
011790,-29.54,-22.98,-17.35,970.7
011810,0.0,0.0,0.0,0.0
011930,-59.7,-4.17,3.01,134.3
012030,-26.82,-4.04,12.7,31.2
0120G0,-47.93,-56.04,,15.0
012160,-4.41,1.84,-19.42,1.8
012170,-48.1,-62.94,-73.54,5.5
012200,-38.43,-53.0,186.2,265.0
012205,-22.28,-1.14,97.44,59.0
012280,-24.33,-14.84,-2.28,2.6
012320,-34.61,-19.57,-31.06,7.1
012330,14.08,5.36,62.02,4155.7
012450,-33.08,-21.99,3.6,2556.7
012510,0.59,30.86,50.0,34.9
012610,-40.56,-37.32,-12.33,36.7
012630,-16.52,27.78,3.84,22.3
012690,-37.75,-35.53,-45.21,39.4
0126Z0,-32.32,-39.11,,241.2
012750,-15.77,-3.66,3.95,62.8
012800,-25.29,-18.19,-32.42,37.1
013000,4.28,7.83,12.32,3.5
013360,-32.15,-33.9,-12.64,30.7
013520,-14.24,8.82,30.82,5.0
013570,-25.68,-24.8,-16.74,4.2
013580,-36.14,-9.93,-3.77,60.0
013700,1.62,16.95,25.34,7.2
013870,-22.63,-16.74,-5.9,1.8
013890,-30.57,-31.45,-58.38,3.1
014130,-9.91,-8.45,-28.11,0.8
014160,-42.24,-32.95,-40.17,6.4
014280,-23.58,-34.36,-15.36,11.1
014285,-23.31,-36.36,-23.31,0.2
014440,-4.95,-3.22,0.44,1.3
014530,-18.93,-4.12,-7.66,6.9
014580,-14.32,-11.01,-23.05,4.4
014680,-23.04,-16.17,27.47,210.3
014710,16.81,0.11,9.27,1.7
014790,-27.64,-7.57,-3.39,3.0
014820,-29.15,-27.2,-35.15,12.7
014825,-18.44,-23.26,-25.03,0.0
014830,-32.62,-18.7,-27.21,17.0
014910,1.12,-17.77,48.07,115.3
014915,6.71,-0.21,7.43,2.0
014990,-50.49,-51.79,-68.2,2.2
015020,0.0,-19.44,-30.33,0.0
015230,-17.55,-11.49,-5.86,4.3
015260,-42.25,-2.84,-16.84,5.6
015360,-9.95,7.07,16.99,6.6
015590,-56.57,-56.57,-56.57,11.1
015760,-23.38,-42.16,-7.93,853.1
015860,-39.25,-21.88,0.52,35.4
015890,-10.1,-3.34,-13.62,2.6
016090,-16.68,-9.66,-23.25,2.9
016360,-10.13,16.49,38.54,871.9
016380,-16.23,-6.18,-16.77,36.4
016450,-5.86,7.81,2.67,1.0
016580,-7.43,-8.04,-18.54,4.4
016590,-22.9,-17.64,-1.25,2.4
016610,-36.51,-26.37,-4.63,14.2
016710,-19.42,-20.16,-28.04,1.9
016740,-28.66,-22.32,-5.15,5.8
016800,-27.19,-38.1,-43.72,0.4
